galaxy,N,chi2_over_N
CamB,8,0.06892040570061791
D631-7,16,1.7153160640973357
DDO064,13,1.646098551193853
DDO154,12,2.6397216999688635
DDO161,31,0.049547482550169976
DDO168,9,2.059703656833265
DDO170,8,0.3948589904414469
ESO079-G014,13,9.528936670091428
ESO116-G012,14,0.3553388818092159
ESO444-G084,7,5.613773091033288
ESO563-G021,27,27.06712166726654
F563-1,17,2.7456582638286786
F563-V2,9,3.0771403945963964
F565-V2,7,2.5086442448483046
F568-1,10,3.1439437718254046
F568-3,16,0.8961338466109293
F568-V1,14,3.0913634826147915
F571-8,12,3.7135098430333837
F571-V1,7,0.16944491929510325
F574-1,12,1.1369847694053508
F579-V1,13,2.8691354567229843
F583-1,23,2.3574579326229883
F583-4,10,0.27989457075388524
IC2574,33,0.12395910199428503
IC4202,30,39.69055207897471
KK98-251,14,0.6291562148416885
NGC0024,27,3.6896854083933714
NGC0055,19,1.7222382675565866
NGC0100,20,0.04067191140127863
NGC0247,25,1.5173984211205491
NGC0289,28,15.45985908105131
NGC0300,25,0.500709971561658
NGC0801,13,57.42606580571351
NGC0891,18,74.20463975202517
NGC1003,36,1.6659719660180077
NGC1090,22,37.12356651900578
NGC1705,14,5.084625090017349
NGC2366,25,0.7913875897000916
NGC2403,71,1.0853628244629625
NGC2683,11,27.363410324053994
NGC2841,50,12.149282661226016
NGC2903,33,30.083814843625813
NGC2915,30,5.621026473640952
NGC2955,23,63.47184332953379
NGC2976,25,0.3244936349821832
NGC2998,11,33.85104306518424
NGC3109,24,3.5953994944803025
NGC3198,41,9.930035981042522
NGC3521,40,17.31418622057486
NGC3726,12,49.06038898988601
NGC3741,21,3.5113500620331695
NGC3769,12,9.038130250659718
NGC3877,12,43.602583208884596
NGC3893,10,22.399045624616623
NGC3917,16,9.248084786125531
NGC3949,7,13.470303784268372
NGC3953,8,60.86733412456304
NGC3972,10,3.087498613275696
NGC3992,9,39.16637695212481
NGC4010,11,7.456291059875508
NGC4013,36,38.302245151161934
NGC4051,7,46.44798204494698
NGC4085,7,12.295585256734809
NGC4088,12,96.69135744586914
NGC4100,24,25.473099735172458
NGC4138,7,12.594463542526743
NGC4157,17,56.68625357813093
NGC4183,22,4.43109868457397
NGC4214,14,3.4935426331480026
NGC4217,18,40.45444837951704
NGC4559,32,15.145420226942916
NGC5005,17,26.1396468078517
NGC5033,22,20.83605539263366
NGC5055,28,57.21297784680065
NGC5371,18,112.59995965205465
NGC5585,21,0.03591601311505329
NGC5907,19,43.15872003354385
NGC5985,33,16.135388177321303
NGC6015,43,8.613796044936592
NGC6195,21,87.84045427877821
NGC6503,31,3.3086978205468434
NGC6674,15,18.239398417977274
NGC6946,56,40.279949419101186
NGC7331,36,93.79239160607473
NGC7793,37,0.9289806842197997
NGC7814,17,9.848787529568412
UGC00128,21,0.6155086079682016
UGC00191,8,1.9422012613610806
UGC00731,12,3.442310977761187
UGC01230,10,0.8841408879242258
UGC01281,23,1.628330098011503
UGC02259,8,3.680757372197616
UGC02455,8,9.189071123408048
UGC02487,17,18.013999967123763
UGC02885,18,33.73103843933202
UGC02916,39,24.192890460392636
UGC02953,104,23.86236101537687
UGC03205,45,24.329996804233804
UGC03546,30,23.30835823533791
UGC03580,44,4.951699272060159
UGC04278,22,1.3964154502651147
UGC04305,21,1.4690549190898687
UGC04325,8,4.372664948771446
UGC04483,8,0.8125058724705053
UGC04499,9,0.3086345875762151
UGC05005,11,0.3273105290019077
UGC05253,63,16.285815463866633
UGC05716,12,1.7276511706842175
UGC05721,22,4.809952733115117
UGC05750,10,0.3400179004058269
UGC05764,10,5.3941413073612035
UGC05829,11,0.9672041209348713
UGC05918,8,1.8665568719731125
UGC05986,15,0.5924101858711897
UGC06399,9,0.8621887646067233
UGC06446,17,2.7944733708067724
UGC06614,13,31.538166040107743
UGC06628,7,4.789416650246146
UGC06667,8,7.697235588916895
UGC06786,41,7.205751146415695
UGC06787,63,8.436991085371579
UGC06818,8,0.228264669547944
UGC06917,11,0.790433982529917
UGC06930,10,3.301230670473013
UGC06973,9,41.061303584571014
UGC06983,17,0.4964902408349249
UGC07089,12,0.930826810674619
UGC07125,13,3.3968199673612363
UGC07151,11,0.533902678245878
UGC07261,7,0.7209107812307552
UGC07323,9,0.4359387102516037
UGC07399,10,8.865670237028278
UGC07524,27,1.0765043186497547
UGC07559,7,0.442535504374492
UGC07577,9,0.018670004895416727
UGC07603,12,3.2316603083616138
UGC07608,8,3.553438016104886
UGC07690,7,0.75978886292291
UGC07866,7,0.6017312166933998
UGC08286,17,3.437327202611251
UGC08490,30,2.4579812868093556
UGC08550,11,2.840404841656765
UGC08699,36,10.794528050288315
UGC08837,8,0.06027119244133222
UGC09037,22,52.751589874398995
UGC09133,65,29.48834011741036
UGC10310,7,0.7956629249961756
UGC11455,33,77.72012890170724
UGC11557,11,14.964252596017626
UGC11820,7,1.0144733326312292
UGC11914,60,10.799223125201946
UGC12506,30,10.265996999043775
UGC12632,14,1.1014515313715365
UGC12732,16,0.993986541515618
UGCA442,8,2.745698718328353
UGCA444,32,1.8960045549078801
