galaxy,log10_Mb,log10_Vflat
CamB,7.142584979338683,1.2253092817258628
D631-7,8.64430068401841,1.7638022240745925
DDO064,7.9424632488232145,1.6665179805548809
DDO154,8.366722649934156,1.675778341674085
DDO161,9.201883718274859,1.823474229170301
DDO168,8.525474584875573,1.7387805584843692
DDO170,9.124016533003733,1.7781512503836436
ESO079-G014,9.121841786585158,2.247973266361807
ESO116-G012,8.942899258350742,2.0433622780211294
ESO444-G084,8.169748819637274,1.7972675408307164
ESO563-G021,10.146384825996178,2.496929648073215
F563-1,9.294497544123873,2.0472748673841794
F563-V2,8.919895155673851,2.0718820073061255
F565-V2,8.806209346591398,1.8948696567452525
F568-1,9.084298525846423,2.123851640967086
F568-3,8.898815704286672,2.0492180226701815
F568-V1,8.869663810340601,2.0492180226701815
F571-8,8.14687795327501,2.146128035678238
F571-V1,9.233277883105059,1.9237619608287002
F574-1,8.8490520468494,1.9978230807457256
F579-V1,8.896667854542123,2.0569048513364727
F583-1,8.526493476186793,1.916453948549925
F583-4,8.227151895126829,1.8273692730538253
IC2574,8.713651860933835,1.8048206787211623
IC4202,9.973427446896164,2.385606273598312
KK98-251,7.891607469519191,1.5282737771670438
NGC0024,8.086379590406008,2.0293837776852097
NGC0055,9.53480763275201,1.9355072658247128
NGC0100,8.562923934780011,1.94571471405986
NGC0247,9.31152017148564,2.0211892990699383
NGC0289,10.637259660551768,2.2227164711475833
NGC0300,8.961604797701488,1.9717395908877782
NGC0801,10.282595295880542,2.3344537511509307
NGC0891,9.716512811485396,2.3344537511509307
NGC1003,9.72025207397448,2.0453229787866576
NGC1090,9.994705800801803,2.2095150145426308
NGC1705,8.37369790147206,1.8543060418010806
NGC2366,8.662446054059133,1.6989700043360187
NGC2403,9.11868911938386,2.1271047983648077
NGC2683,9.607380236444802,2.1903316981702914
NGC2841,10.25729747011113,2.45178643552429
NGC2903,9.530818612941442,2.2600713879850747
NGC2915,8.655199819363636,1.9148718175400503
NGC2955,10.058347101286468,2.4073909044707316
NGC2976,8.025177534202312,1.9222062774390163
NGC2998,10.057680884304542,2.3283796034387376
NGC3109,8.404276948297905,1.8208579894397
NGC3198,9.402566999467336,2.173186268412274
NGC3521,8.919650628365932,2.322219294733919
NGC3726,9.943851019328676,2.225309281725863
NGC3741,8.004236892082428,1.6994040818153375
NGC3769,9.73327497290419,2.0718820073061255
NGC3877,9.143808401886547,2.230448921378274
NGC3893,9.897375936440797,2.24551266781415
NGC3917,9.250430243927832,2.1367205671564067
NGC3949,9.335045054749276,2.2174839442139063
NGC3953,9.430935769757925,2.3483048630481607
NGC3972,8.939283823529195,2.1271047983648077
NGC3992,10.456526664572955,2.3820170425748683
NGC4010,9.206685208598167,2.093421685162235
NGC4013,9.901613477956287,2.250420002308894
NGC4051,9.304244406851831,2.187520720836463
NGC4085,8.748535528834124,2.123851640967086
NGC4088,10.07596579614776,2.2329961103921536
NGC4100,9.754571763896148,2.2013971243204513
NGC4138,9.36475130467011,2.167317334748176
NGC4157,10.208669512109326,2.2671717284030137
NGC4183,9.666646844982573,2.0433622780211294
NGC4214,8.33608191783307,1.9057958803678685
NGC4217,9.510901528261174,2.250420002308894
NGC4559,9.81940908224654,2.0863598306747484
NGC5005,10.023339906182324,2.423245873936808
NGC5033,10.312002728733935,2.28668096935493
NGC5055,10.016160576708614,2.2528530309798933
NGC5371,10.285718895192428,2.3180633349627615
NGC5585,8.640814462133775,1.9578466337081502
NGC5907,10.623779674328429,2.3344537511509307
NGC5985,9.892407109682203,2.4653828514484184
NGC6015,9.806232240609411,2.1917303933628562
NGC6195,10.199223227433082,2.4056877866727775
NGC6503,9.492662667003698,2.060697840353612
NGC6674,10.562460430188619,2.383815365980431
NGC6946,9.745861149091839,2.2000292665537704
NGC7331,10.369001883389965,2.3774883833761327
NGC7793,8.365751537572415,2.037426497940624
NGC7814,9.10316475522112,2.330413773349191
UGC00128,10.140150211176627,2.1172712956557644
UGC00191,8.28714055703049,1.9084850188786497
UGC00731,9.096058118581718,1.8686444383948257
UGC01230,9.483218026849608,2.012837224705172
UGC01281,7.980784495709391,1.7431176252147416
UGC02259,8.828337707045327,1.9459607035775686
UGC02455,8.517463911023844,1.725094521081469
UGC02487,10.539626126328256,2.5185139398778875
UGC02885,10.978335314824264,2.4742162640762553
UGC02916,9.731667557041066,2.322219294733919
UGC02953,9.151206551352523,2.423245873936808
UGC03205,9.516499417032742,2.342422680822206
UGC03546,8.94065077107632,2.287801729930226
UGC03580,8.724830921395027,2.0718820073061255
UGC04278,8.545270920919968,1.94571471405986
UGC04305,8.541410899097885,1.5422027824340283
UGC04325,8.726011989972044,1.9618954736678504
UGC04483,7.266863637534745,1.3838153659804313
UGC04499,8.983380393668503,1.865103974641128
UGC05005,9.342786841523735,1.9973863843973134
UGC05253,9.048873679617335,2.386498965550653
UGC05716,9.0835688446011,1.863322860120456
UGC05721,8.404961281303775,1.8945929479229555
UGC05750,8.746129899117085,1.8898617212581883
UGC05764,8.22563684089301,1.6989700043360187
UGC05829,8.771186551016667,1.8169038393756602
UGC05918,7.956370563056969,1.6294095991027189
UGC05986,8.919107892592692,2.0433622780211294
UGC06399,8.713900533904598,1.9324737646771533
UGC06446,9.044873651995529,1.920123326290724
UGC06614,9.898748340139603,2.3096301674258988
UGC06628,8.777527678270989,1.6263403673750423
UGC06667,8.70887218764226,1.9294189257142926
UGC06786,9.079113556964376,2.3541084391474008
UGC06787,9.080595948006218,2.391816923613249
UGC06818,8.43913036405085,1.8524799936368563
UGC06917,9.113057228763417,2.041392685158225
UGC06930,9.60254505477632,2.03342375548695
UGC06973,9.291259524052053,2.250420002308894
UGC06983,9.501794894712768,2.03342375548695
UGC07089,8.921227263534899,1.8898617212581883
UGC07125,9.493981545044567,1.813580988568192
UGC07151,8.602747323056498,1.8692317197309762
UGC07261,8.614424950412134,1.8733206018153987
UGC07323,8.544227209207094,1.91803033678488
UGC07399,8.673543080202505,2.012837224705172
