r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.0109084175868202,13.123203081219634
0.9,17.8,2.22,20.57645499108143,1.0033000647487849,20.610378843292043
1.35,26.0,2.35,26.643340631384795,1.0006938037878832,26.65258165412453
1.8,30.9,2.22,28.40977472631559,1.0000987171351474,28.411176957495965
2.25,34.7,1.82,28.156995578363823,1.000531913849144,28.164483130762193
2.69,38.8,1.81,27.869512015821158,1.0016633961024863,27.89268140368981
3.14,42.5,1.57,27.03890715247197,1.0032493135643303,27.082800469489225
3.59,45.6,1.59,26.289056658617476,1.0053153965394823,26.358832440411426
4.04,48.8,1.83,25.52609057415569,1.0078845263460878,25.626523563028755
4.49,51.8,1.91,24.616459940454476,1.010872228873106,24.74991607293768
4.94,54.8,2.19,23.785779364990336,1.0146067882220482,23.958866515486644
5.39,56.6,2.73,22.912599154177162,1.0190564688710886,23.12988547819725
5.84,58.4,3.27,22.092193191261025,1.0249013240936737,22.365564261689862
6.29,58.5,3.95,21.303694515271285,1.03366186567289,21.65928785105342
6.74,57.7,4.07,20.562927807099843,1.031151896177105,20.880758627697173
7.19,57.3,3.94,19.850120906432785,1.0329938254827213,20.174929193720303
