r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.6,16.0,3.53,14.318536936433135,1.0142207156831957,14.419987456295747
0.73,16.6,4.83,16.375066412079065,1.0111018491055448,16.465712280503936
0.85,18.6,2.5,17.879119105817267,1.009459373360063,17.96348270020211
0.98,20.0,7.58,19.968217246414362,1.0079428215213468,20.047362391156604
1.07,21.4,4.03,21.26249750146958,1.0065864264345692,21.3324045188353
1.54,28.9,2.74,27.1146086086449,1.00296499273638,27.15477616534101
2.02,32.9,2.65,31.18002565746218,1.0012152024660403,31.198964927482283
2.49,35.2,2.88,33.63529247680181,1.0003435436152133,33.64106957566117
2.96,37.6,3.05,34.90671138907245,1.0001004642521476,34.90846478336251
3.43,40.6,3.68,35.32418010371932,1.000268966186806,35.32893028934324
3.9,42.7,3.25,35.80341464162322,1.0007508985236901,35.81685448470582
4.37,45.5,2.99,35.96655251758222,1.001443875377032,35.99250876135496
4.86,48.9,1.96,35.986336295877635,1.0024161950082473,36.02978506959594
5.34,51.5,1.53,35.891951744088814,1.003597721231764,35.95645839536177
5.81,53.0,1.86,35.67475437897225,1.0049190730331377,35.762390100667275
6.28,55.0,1.48,35.70686208559918,1.0064252575206332,35.82139130231623
6.75,57.6,0.99,35.760271251767655,1.0081042661720492,35.90488422579884
7.22,59.7,1.19,35.96768549684563,1.0098845483167531,36.145010542437895
7.69,60.5,1.26,36.35770069737634,1.0120449278402812,36.57600823109785
8.16,61.8,1.33,36.796836820574676,1.0144385054286174,37.06153046364366
8.64,62.9,1.35,37.021216889778216,1.0173089989993522,37.34024241234973
9.11,63.0,2.09,37.29874662773536,1.0205143179760787,37.679383585300435
9.58,64.5,2.38,37.20884303495609,1.0243764788924392,37.65962275798345
10.05,65.6,1.08,37.007901858927376,1.0293052417247903,37.54624899542694
10.52,67.5,3.22,36.29888428037424,1.0358539652090877,36.94388321827012
10.99,66.8,2.37,35.472186287287116,1.0311651588695905,36.020693655755615
11.46,66.8,0.95,34.518524012477705,1.031196263009428,35.05281353143039
11.94,66.6,0.96,33.57783346197309,1.0333070126572312,34.13244186308621
12.41,66.8,0.99,32.650298620380184,1.0363849464425918,33.2389813483439
12.9,66.3,0.74,31.86244968611171,1.0410728865205492,32.51020669328296
13.37,66.1,1.31,30.952935240458213,1.0465757407415937,31.665559860956463
