r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.25,20.9,3.4,17.33139636613276,1.0285133195073426,17.576747535526952
0.83,40.0,3.29,35.00630800298712,1.0105976541492836,35.19131151657955
1.38,51.5,2.96,51.36339260601854,1.005023725540221,51.49224876789839
1.85,67.9,3.45,61.93297183245771,1.0023481466951607,62.005643048367794
2.68,80.2,2.93,61.776141834854016,1.0003787852664,61.78784067329303
3.19,83.3,3.08,65.33506944972203,1.0000923316379082,65.33808562708906
3.68,91.4,2.83,68.19718249312064,1.0001973043531045,68.20390996178497
4.13,102.0,5.4,69.97198367918405,1.0005154784108705,69.99001587915718
5.23,105.0,4.21,69.42425584765024,1.0020281882234907,69.49462291537594
6.05,109.0,2.1,65.99247305564477,1.0035232681298258,66.10862542517908
6.81,108.0,2.1,62.639955300111765,1.0052377118599272,62.80378607407642
7.56,109.0,2.1,61.778006604292436,1.0071036665339839,61.99704348045945
8.32,110.0,2.1,61.35031621760397,1.0092322585178832,61.63286656117056
9.09,111.0,2.33,60.56720647347044,1.011523258724914,60.915172713721184
9.86,112.0,4.74,57.32175154337139,1.0141573741812688,57.726088229161405
