r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.22,12.4,7.0,38.3010508994205,1.0195918774433874,38.674425739098766
0.78,37.5,4.0,85.73158694436958,1.0045950052655614,85.92832974157228
1.33,56.5,4.0,104.07309931005226,1.000685675893121,104.10877340354332
2.33,69.1,4.0,114.57450894505287,1.0007250293491503,114.61603636009289
3.44,85.5,7.5,107.55394228014146,1.0042311422931924,107.78124011854698
3.78,87.1,8.4,103.95592383313227,1.0057541521116309,104.25458391484068
4.77,105.0,4.0,92.41437821031963,1.0107259307564704,92.90867141764089
5.44,112.0,6.7,86.89113015722607,1.0148071202623326,87.53206996448988
6.11,116.0,4.0,81.96657184486857,1.0196044136284013,82.76612545894506
7.22,124.0,4.0,76.94565484808093,1.0302082816941898,78.09920597316302
9.33,135.0,4.0,69.3732001568329,1.0439566757715957,70.88151095769912
11.1,140.0,4.0,65.31475790355499,1.0747231691423234,67.7110622770676
15.55,144.0,5.0,56.566096736472815,,
