r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.42,35.7,9.1,15.483607460795433,1.0279850946550728,15.698767638299064
1.47,83.3,9.3,40.92651951974417,1.0140975916039534,41.21399257515329
2.11,94.2,10.4,48.84802964296513,1.0084045076382562,49.05287196292254
2.84,97.6,9.1,53.605969816803054,1.005267357616992,53.74696529896538
3.9,101.0,9.1,57.91132963419162,1.0023831075983263,57.98029303667916
4.74,105.0,16.7,63.96273055459718,1.0012448568993777,64.00253039538994
5.69,106.0,9.1,69.23770071283418,1.0004518875112225,69.25334277204992
6.32,108.0,11.5,71.41734313176316,1.000177748871375,71.42369002580651
7.37,110.0,23.0,74.55555780758401,1.000110757130544,74.55968647309183
8.21,112.0,19.7,75.48106650014955,1.0002713564610626,75.49130694303544
9.16,113.0,9.1,77.29093737301936,1.0006491120694634,77.31601854371146
10.85,114.0,9.1,77.96495238246479,1.0016900221335117,78.03080581835164
12.21,114.0,9.1,75.47465799856266,1.0028269290499654,75.58126346182975
15.16,114.0,11.2,71.64346795067922,1.005811602576902,71.85134804059064
