r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.85,10.3,0.2,9.59,1.0170609543343458,9.67146129363689
1.14,12.9,2.7,11.99,1.0127536285263312,12.066215766026573
1.42,16.4,1.8,13.861908238045727,1.010660815033301,13.935601969799738
1.71,18.6,2.1,15.652683476005,1.007677963366005,15.712658938939427
1.99,19.8,2.0,17.53046491111973,1.0059134713662612,17.58222145983151
2.28,26.1,0.6,18.698804774637335,1.0045040975167414,18.740868083615293
2.55,27.7,2.7,19.922020479860972,1.003443234151517,19.956289097133507
2.84,29.7,2.6,20.791007671587252,1.0027373382677038,20.81944423522461
3.13,33.0,3.4,21.517811226981244,1.0019156708089247,21.53841188710067
3.41,34.8,1.2,22.01645975174029,1.0013936900451044,22.03179647033506
3.7,35.0,0.9,21.924235448471173,1.0009340301827987,21.934472007537114
3.98,39.0,10.2,21.89594711356419,1.000623860396321,21.90277605577565
4.26,35.9,5.4,22.723540657212734,1.0004187601478305,22.728298015839233
4.55,40.0,4.1,24.82737400531921,1.0002395328784333,24.830347313458326
4.84,38.7,1.4,27.12151175727489,1.0001334768796188,27.123321744259005
5.12,41.8,0.5,28.330981274922337,1.0000911940013921,28.332273053245313
5.41,42.9,0.4,28.895406209292158,1.0000978728178214,28.89682021210879
5.68,44.4,1.7,29.920482950647706,1.000132014703096,29.92245785730729
5.97,46.1,1.3,30.779416823585205,1.0002136534518857,30.782704712303087
6.26,49.0,0.9,31.710763157010273,1.0003355683215127,31.716083274515228
6.54,51.9,0.6,32.47910867003588,1.0004945898690834,32.48713959620748
6.83,53.1,2.1,32.45592241795016,1.0006794258595122,32.46694624229281
7.1,54.0,0.5,32.57555218258011,1.0008374082168585,32.58918884584726
7.39,55.9,1.1,32.749064108765,1.0010852256941623,32.76682935316232
7.68,58.8,3.6,33.319059110365046,1.0013247348100769,33.34112126487852
7.96,57.3,4.6,33.76046504419037,1.001600100055565,33.78746430912256
8.25,54.0,9.0,34.0532670972992,1.0018903899143403,34.08543887651172
8.52,63.8,12.0,33.90553494637712,1.0021478074749217,33.94192669693929
8.81,60.5,6.2,34.00629500548391,1.0024775993473651,34.04839593146547
9.1,61.0,5.7,34.217640187482246,1.0028254009179922,34.26594536717305
9.38,66.0,1.3,34.77264729640238,1.0031778348494163,34.82785433667022
9.67,65.2,3.4,35.80586125203526,1.0035680059459395,35.86968213732384
9.96,67.1,4.7,35.81432115788319,1.003870334133466,35.883560922147936
10.23,67.5,9.3,36.23216526789422,1.00428820434519,36.30976762746623
