r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.25,4.25,2.0,3.433846240005513,1.025902499974335,3.4780345236853782
0.41,6.84,2.0,5.14463798532025,1.01905397457951,5.19341961152652
0.57,9.56,2.0,6.788225099390856,1.014022264564457,6.835652562201371
0.74,12.3,2.0,9.051143574156804,1.0103921484084195,9.09805243183906
0.9,15.1,2.0,10.940100547984008,1.0077880532859447,10.982618967622017
1.07,17.5,2.0,13.004526135157713,1.0059479154732278,13.043143707888321
1.24,19.7,2.0,14.983167221919402,1.0044301897301269,15.016319681350744
1.4,21.8,2.0,16.537185371156724,1.0032431224986662,16.563979723371176
1.57,24.4,2.0,17.883402920026153,1.002404727747966,17.904892366331502
1.72,27.3,2.0,19.01036822368257,1.0017447997017452,19.026945638170425
1.89,30.3,2.0,20.057180759019946,1.0011969629265913,20.06918102001723
2.06,32.6,2.0,20.81237372334064,1.0007911212208773,20.82060465100178
2.46,33.3,2.0,21.81966544198146,1.0002033919372586,21.82188430117497
2.79,34.6,2.0,22.22540213359479,1.0000988485028253,22.226500580313306
3.13,34.2,2.0,21.403518402356188,1.0002110741956085,21.405777148386708
