r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.21,55.5,7.21,32.74993282435858,1.0105704568336586,32.9225686892387
0.63,63.2,5.22,54.039365281246596,1.0005815885442986,54.055077334985405
1.04,66.6,7.97,59.570483462869426,1.0005232881736337,59.58606768912263
1.46,70.5,4.62,59.378737777086506,1.003049561703096,59.4692084179927
1.88,76.1,4.69,56.25591879971387,1.0068868536936486,56.44929956581335
2.3,78.8,4.52,51.41805616707034,1.011695630142801,51.71786538469502
2.71,80.1,6.65,47.88102860215098,1.017623052766263,48.301090936419435
3.14,80.1,6.28,44.33209334105486,1.0261244036895851,44.90743470588215
3.55,80.1,5.09,41.38472785944109,1.0385010855309518,42.173882245226054
3.96,80.4,5.4,39.09139291455345,1.0391515954820263,39.84929110618051
4.38,80.1,7.58,37.145391369589845,1.0459021108848354,37.98835241421887
4.8,80.4,8.9,35.52926962379047,1.0610577439547892,36.59786825579744
5.22,80.6,9.37,34.139258925758774,1.1091182204427759,35.953651909446286
5.63,80.6,9.37,33.28091495136515,,
