r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.32,284.0,34.7,191.7879456587405,1.0221382959681307,193.899253587279
0.63,282.0,18.8,296.4674786549108,1.0161846406789312,298.8569590477977
0.95,281.0,12.6,328.6161646967477,1.0152164619976898,331.10691306593924
1.26,280.0,10.6,338.99159724099354,1.0112902933532677,340.899883369956
1.58,280.0,10.8,343.38502588202647,1.0096910404461745,345.0448932050102
1.89,279.0,7.67,343.33066291841743,1.0079373112855907,344.690531000497
2.21,279.0,11.2,342.17507244099477,1.0063176365091158,343.2542395432529
2.52,279.0,4.45,340.32101859861666,1.0053498440842634,341.2301365048001
2.84,279.0,5.03,338.24940472970536,1.0042051005719197,338.95984502763724
3.15,279.0,4.26,337.63186164815664,1.0033957160979663,338.2046267971713
3.47,279.0,4.14,339.3641740078054,1.0026940907406958,339.82100546786796
3.79,279.0,5.73,341.21861965607917,1.0020792371333203,341.5731726641201
4.1,280.0,4.52,342.17368762077547,1.001691091302084,342.4628888794582
4.42,280.0,4.86,342.02478199686055,1.0011947507939791,342.2290381961838
4.73,280.0,1.59,340.63022605165264,1.0009519689644686,340.79232218498794
5.05,281.0,1.85,338.11305594430985,1.0006446095050139,338.22201383313137
5.36,282.0,4.81,335.15713374475564,1.000445744919724,335.2318227174634
5.68,282.0,20.3,332.15544267706946,1.0003154426573193,332.20782654410925
5.99,283.0,12.8,329.5769872123962,1.0001842759528887,329.6073523702529
6.31,284.0,8.08,327.43454689449004,1.000120744320658,327.4543142287721
6.62,284.0,7.81,326.22537638877816,1.0000924264205833,326.24045196236244
6.94,285.0,10.4,325.49923210354893,1.0000950348323687,325.51469861857277
7.57,286.0,6.82,323.93643666620767,1.000180946929923,323.9657429923977
7.89,287.0,13.4,322.19458887448747,1.0002703588065005,322.2381400033331
8.2,287.0,10.5,319.75370115137054,1.00036253734503,319.8116572279755
8.31,288.0,2.93,318.9406261359628,1.0003939836690912,319.00344864786484
8.52,288.0,5.58,317.61179543587485,1.0005025308432878,317.6915902739914
8.83,288.0,5.74,316.08674948501084,1.000622163989873,316.18506309219487
9.15,288.0,7.0,314.40755843331755,1.0007967137595615,314.5327799108218
9.78,289.0,12.7,310.06414336391754,1.0011739400408595,310.24608833802216
10.1,289.0,3.89,307.26113063646693,1.0014042944030144,307.4767974910989
11.04,288.0,5.02,298.8076433092032,1.0021079594097815,299.12241470691066
11.36,288.0,3.39,296.1255767406794,1.002361491465778,296.47501957190053
11.67,288.0,10.7,293.69884405628835,1.002636517122049,294.0857602119363
13.57,285.0,4.07,281.87203195776624,1.004447212293016,282.4981090383156
13.88,284.0,8.92,279.8574404942631,1.0047569223838864,280.52228084530196
14.2,284.0,5.69,278.088886868929,1.0051270014890383,278.8008565367679
16.61,278.0,9.14,265.14584024645757,1.0079548022022995,266.1983426374335
19.35,273.0,6.1,253.67883494686743,1.011731336096046,255.16249215053688
22.19,269.0,2.26,240.76447183918143,1.0162859151618464,242.71708878935388
24.92,265.0,1.32,231.83505580476825,1.021434629464907,234.30653149083608
27.66,262.0,3.15,223.66192724735248,1.0282161898790194,226.79542089798937
30.5,257.0,4.71,215.42458401955892,1.0375742732616262,219.43447525983973
33.23,252.0,4.96,207.64613119439522,1.049467932499963,212.72005190014642
35.96,247.0,2.58,199.42581853912498,1.0429601844760823,203.6644590147015
38.8,242.0,2.52,191.48422128206806,1.0496093203109842,196.17643234510066
41.54,238.0,2.3,184.72517478676264,1.060280683990678,190.21138636090322
44.27,235.0,0.63,178.89574449941506,1.0827575011375155,186.15110151812206
47.11,236.0,1.4,173.82011218498278,,
49.84,239.0,2.07,169.18596070596402,,
52.58,242.0,2.63,164.30315821675492,,
55.42,245.0,1.64,159.8921999348311,,
58.15,247.0,1.31,156.556590726804,,
60.89,246.0,2.14,153.9882089641931,,
63.62,243.0,4.0,150.984606500133,,
66.46,239.0,4.67,147.822131969472,,
69.19,234.0,5.12,144.89552546576448,,
71.93,230.0,2.1,142.26562796403073,,
74.77,228.0,1.32,139.87955568988627,,
77.5,228.0,1.6,137.92368397052047,,
80.23,227.0,3.16,136.05322524659238,,
83.07,226.0,3.48,134.1112627634234,,
85.81,224.0,3.71,132.20040733674008,,
88.54,222.0,1.49,130.21269868949034,,
91.38,222.0,1.18,128.2029254736412,,
94.12,224.0,1.22,126.38128698505962,,
99.69,227.0,2.8,123.21397566834698,,
108.31,229.0,4.12,118.36947832950858,,
