r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.12,6.48,2.6,2.296867431960321,1.0348328636494566,2.3365282483781518
0.19,8.6,2.65,2.2887769659798662,1.0273284576614254,2.3198405387998933
0.26,10.2,3.03,3.2727358585745967,1.0259733341734478,3.3149653373248067
0.33,11.7,3.55,4.2304136913545465,1.021513928265968,4.275677942247179
0.4,12.7,3.75,5.115310352266029,1.019582965354378,5.165153986537942
0.47,14.1,3.43,6.122360655825497,1.016108616731392,6.171475035477968
0.55,16.0,3.33,7.487062174177533,1.0144249427710403,7.540869050346102
0.62,18.1,2.66,8.782767217682592,1.0119317626435935,8.835008793150061
0.69,21.2,3.78,10.003929228058343,1.0110206610880432,10.058903137657
0.76,21.6,3.33,11.087474915416944,1.0093456150401645,11.139164065704348
0.83,23.3,3.09,12.301174740649772,1.008515788806329,12.353440807920926
0.9,24.5,3.26,13.121528112228392,1.0072474556065707,13.168991117216743
0.97,24.4,3.29,13.838410313327177,1.0064908753891308,13.883249368300605
1.04,25.3,2.78,14.451608906969495,1.0056863665511515,14.492639234033305
1.11,25.4,2.78,14.973459854021716,1.0051093356297593,15.011663333561753
1.19,25.9,2.73,15.400422072138154,1.004102719562198,15.431981541808728
1.26,26.7,2.67,15.612280422795383,1.0038317386522178,15.64216291386294
1.33,27.1,3.16,15.824139787046876,1.0031558841011337,15.849089693383963
1.4,28.6,3.34,15.94420898006546,1.0029172215440887,15.9674484387159
1.48,28.9,3.21,16.067535591994186,1.002359699756309,16.086481701707722
1.55,30.4,4.14,16.175057959710685,1.002143765896718,16.192386446443685
1.62,30.8,4.35,16.377438749694655,1.0017507220543655,16.391768652124853
1.69,30.5,4.56,16.390109822694903,1.0015395994866472,16.40272207244319
1.75,33.0,4.04,16.393291310777098,1.0012604324673429,16.40361937565224
1.83,32.1,4.35,16.497639225052776,1.0010902706951956,16.506630221358925
1.9,32.9,4.36,16.5072105456979,1.0008422825067744,16.514160949794146
1.97,34.2,4.9,16.51361862221603,1.0007474578421927,16.51978908626205
2.04,32.6,3.98,16.516830809813364,1.0005631496371405,16.52148087887296
2.11,33.7,4.73,16.617957154837054,1.000483168019535,16.621971302742246
2.19,33.8,4.67,16.52973381515867,1.0003407235570168,16.532549610178197
2.26,34.9,3.74,16.532973114355446,1.0002673201460228,16.535182765087836
2.33,36.1,5.47,16.54272347589719,1.000204762217855,16.54441705158069
2.4,37.2,5.39,16.175104327329702,1.0001651722806635,16.176440111609203
2.48,37.6,7.1,15.723323440036461,1.000129508457496,15.724341558756498
2.55,35.6,4.73,15.232202729743324,1.0001061192849474,15.233010923533586
2.62,38.3,7.78,14.774254634329273,1.0001047065044388,14.775028094362453
