galaxy,N,chi2_over_N
CamB,8,0.22552725522448583
D631-7,16,3.6578979788588035
DDO064,13,1.4156434942406595
DDO154,10,3.2477203242782884
DDO161,31,2.5400911799687345
DDO168,9,2.5775299656400925
DDO170,8,3.770280341618329
ESO079-G014,13,2.5693627179101877
ESO116-G012,14,5.514195156324676
ESO444-G084,6,5.024477707361778
ESO563-G021,27,3.369857807467147
F563-1,17,8.810483960182815
F563-V2,9,6.021444359850761
F565-V2,7,6.029433288937221
F568-1,10,9.766716301943102
F568-3,16,4.357224422469619
F568-V1,14,8.367292182886747
F571-8,11,8.564669910518809
F571-V1,7,5.451769455577539
F574-1,12,7.236290256043536
F579-V1,13,4.330863579868457
F583-1,23,5.620207610754474
F583-4,10,2.218874369043848
IC2574,33,2.0461043136750083
IC4202,30,0.9985818089953438
KK98-251,14,0.5381074757559631
NGC0024,27,4.53879445176403
NGC0055,19,2.8219579892509667
NGC0100,20,3.2966190635607413
NGC0247,25,4.572813894067249
NGC0289,8,1.093841375568577
NGC0300,25,5.400998674657129
NGC0801,7,4.982142113972707
NGC0891,17,8.630706650282782
NGC1003,27,7.030830717582004
NGC1090,22,1.6003936868119317
NGC1705,8,4.518769166628001
NGC2366,25,1.7524494087984706
NGC2403,52,1.5587084390026598
NGC2683,9,1.3786651461249313
NGC2841,41,4.537631599772547
NGC2903,24,8.577182630384458
NGC2915,10,4.53963701682416
NGC2955,23,2.4640873467705195
NGC2976,25,0.08053664262705286
NGC2998,10,1.3742724178534964
NGC3109,24,5.526567501753829
NGC3198,36,2.6989648123390757
NGC3521,40,3.827400548358625
NGC3726,12,2.8189076656290784
NGC3741,10,1.6131109547855793
NGC3769,9,2.594191018490685
NGC3877,12,1.483563910516308
NGC3893,10,2.2014894039516646
NGC3917,16,2.376504510945395
NGC3949,7,2.926066266371645
NGC3953,8,0.5513322985773191
NGC3972,10,1.6121387882843163
NGC3992,9,3.3282792250873046
NGC4010,11,1.2868499745609425
NGC4013,36,3.2141837174885404
NGC4051,7,2.018318352823608
NGC4085,7,5.142165651899869
NGC4088,12,6.001947927658864
NGC4100,24,1.8153961383364283
NGC4138,4,1.24565711255003
NGC4157,17,2.9394425858243207
NGC4183,22,4.394420100985669
NGC4214,13,4.669678329862915
NGC4217,18,8.79762889501611
NGC4559,32,1.9185471404575973
NGC5005,17,2.7125577644980594
NGC5033,11,3.476600719013146
NGC5055,14,11.069369021258698
NGC5371,18,2.008260919515552
NGC5585,21,3.6001226160273836
NGC5907,19,2.945167925605482
NGC5985,33,6.412959893742293
NGC6015,36,3.2409033458093006
NGC6195,21,2.184116621044307
NGC6503,15,2.5279563453760727
NGC6674,13,6.360539563894006
NGC6946,56,1.4463285876874596
NGC7331,27,7.816361022072442
NGC7793,37,0.4850734983280998
NGC7814,17,4.025079837507556
UGC00128,21,16.531242383615226
UGC00191,8,3.6905004617169395
UGC00731,12,7.232880676029232
UGC01230,10,6.088790949791518
UGC01281,23,2.1774219112940534
UGC02259,8,8.685371009643008
UGC02455,8,9.523546133121094
UGC02487,16,7.831944109687935
UGC02885,16,3.48204299342824
UGC02916,39,2.1223623920931662
UGC02953,86,2.229382167612191
UGC03205,45,1.7952745740381317
UGC03546,23,4.918595550647639
UGC03580,38,6.746552975647133
UGC04278,22,4.165997192841104
UGC04305,21,0.19724368883065083
UGC04325,8,6.766635271612429
UGC04483,8,0.4406176117758439
UGC04499,9,2.3906727446886125
UGC05005,10,3.02966329510528
UGC05253,62,2.1294732552979556
UGC05716,10,5.995869593471539
UGC05721,20,5.534711654260126
UGC05750,10,1.7726867516016742
UGC05764,10,5.368501665409848
UGC05829,11,2.4630944659052263
UGC05918,8,2.373424242481386
UGC05986,15,6.343075269969251
UGC06399,9,4.4019111387353735
UGC06446,17,7.512428572584273
UGC06614,13,3.3419006200604313
UGC06628,7,0.32879339399701213
UGC06667,8,13.037813616056965
UGC06786,41,4.368580303222939
UGC06787,63,5.41884827480526
UGC06818,8,1.9014369436295344
UGC06917,11,4.1474879996370095
UGC06930,10,3.910788229479155
UGC06973,9,19.35115844995899
UGC06983,14,6.644366609019508
UGC07089,12,0.9379475711353291
UGC07125,13,1.1582823251494687
UGC07151,11,1.220563745531232
UGC07261,7,2.2253612933158613
UGC07323,9,0.6638847965155344
UGC07399,10,12.360528863078638
UGC07524,27,4.809751863905117
UGC07559,7,0.3622761713943801
UGC07577,9,0.027672615917729983
UGC07603,12,3.788344321681642
UGC07608,8,4.552015468501169
UGC07690,7,0.9073259144836356
UGC07866,7,0.4231838578773968
UGC08286,17,7.978150046179064
UGC08490,20,5.027503184937657
UGC08550,11,3.9611586322863603
UGC08699,36,2.2582661300656315
UGC08837,8,0.4406244267410765
UGC09037,22,3.8439476212727683
UGC09133,45,1.8081474050626958
UGC10310,7,2.446479878810713
UGC11455,33,1.9851209984435856
UGC11557,11,2.2609861130528115
UGC11820,7,6.398219894007433
UGC11914,60,0.3254331673073205
UGC12506,30,6.951050611183783
UGC12632,14,4.608170552855955
UGC12732,16,8.032739914298247
UGCA442,8,4.345144170638656
UGCA444,32,1.5493834876291093
