r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.010908786088266,13.123205473087573
0.9,17.8,2.22,20.57645499108143,1.0033003568953693,20.610381844015137
1.35,26.0,2.35,26.643340631384795,1.0006939692218153,26.652583857216616
1.8,30.9,2.22,28.40977472631559,1.0000988040747396,28.4111781924021
2.25,34.7,1.82,28.156995578363823,1.0005319765477252,28.164484013229355
2.69,38.8,1.81,27.869512015821158,1.0016634473825665,27.892682117671637
3.14,42.5,1.57,27.03890715247197,1.003249357658769,27.08280106465578
3.59,45.6,1.59,26.289056658617476,1.0053154364122197,26.358832963132354
4.04,48.8,1.83,25.52609057415569,1.0078845659878188,25.626524066995092
4.49,51.8,1.91,24.616459940454476,1.010872268522887,24.749916558324813
4.94,54.8,2.19,23.785779364990336,1.0146068279021156,23.95886698398806
5.39,56.6,2.73,22.912599154177162,1.0190565051032965,23.12988588938487
5.84,58.4,3.27,22.092193191261025,1.0249013362558856,22.365564394392752
6.29,58.5,3.95,21.303694515271285,1.033661822532254,21.659287399070283
6.74,57.7,4.07,20.562927807099843,1.0311519855139664,20.88075953222996
7.19,57.3,3.94,19.850120906432785,1.0329938577239706,20.174929508564833
