r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.41,15.0,4.1,13.301372109673498,1.0202857620589612,13.435608988092977
0.82,23.4,1.3,22.071746645881923,1.0109787932530618,22.19257648130897
1.24,29.2,1.5,25.138022993067693,1.005991139587817,25.213213244776263
1.64,36.2,1.1,25.762765767673315,1.0034103595714579,25.806658524415823
2.06,44.0,1.1,27.735754902291735,1.001732129595478,27.75976547039592
2.47,52.1,1.2,28.32203735609428,1.0007127144940393,28.33212832168238
2.89,52.9,1.7,28.554554803043242,1.0002323663579986,28.557872169295283
3.3,54.8,2.2,28.506204587773517,1.0000994362460376,28.507621827529636
3.71,55.0,2.5,28.488123841348344,1.0002112917551909,28.491133335230693
4.12,52.0,2.7,28.01935937882949,1.0005174704525512,28.026608036498207
