r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.25,20.9,3.4,17.33139636613276,1.0284787236568604,17.57645192066629
0.83,40.0,3.29,35.00630800298712,1.0105976793300013,35.191311955004515
1.38,51.5,2.96,51.36339260601854,1.0050248516083637,51.4922776148615
1.85,67.9,3.45,61.93297183245771,1.002348689217113,62.005659828674155
2.68,80.2,2.93,61.776141834854016,1.000379147595132,61.78785186280859
3.19,83.3,3.08,65.33506944972203,1.000092595308897,65.33809424017204
3.68,91.4,2.83,68.19718249312064,1.0001975098164733,68.20391696710497
4.13,102.0,5.4,69.97198367918405,1.000515658734632,69.99002218633716
5.23,105.0,4.21,69.42425584765024,1.0020283109317474,69.49462717052758
6.05,109.0,2.1,65.99247305564477,1.0035233650382762,66.10862861717497
6.81,108.0,2.1,62.639955300111765,1.0052378012502265,62.8037888664752
7.56,109.0,2.1,61.778006604292436,1.0071037343939075,61.997045569179164
8.32,110.0,2.1,61.35031621760397,1.0092323242158678,61.63286856722765
9.09,111.0,2.33,60.56720647347044,1.0115233161833705,60.91517444383056
9.86,112.0,4.74,57.32175154337139,1.0141574270537386,57.726089733918414
