r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.28,11.9,7.89,6.2921300050142,1.0283128279144174,6.380582288371251
0.87,34.8,7.89,17.881680569789854,1.0119024735115558,17.98778389536773
1.46,58.5,8.68,27.78001619869938,1.0056026667763993,27.85772858848122
2.05,81.5,14.2,35.88963081448456,1.0025301295040179,35.935004838982145
2.35,91.8,17.5,38.599762952640006,1.0016614113945554,38.63181468838351
4.76,114.0,8.68,48.02736719829643,1.0005530855362914,48.040646983407754
7.86,116.0,8.68,53.59752326367329,1.005420058885997,53.74257784430775
8.7,117.0,16.6,56.32932628746771,1.0072577697154548,56.53336937157338
10.18,118.0,51.9,54.93775568768714,1.0109989312085286,55.239057751011096
10.47,118.0,40.3,54.70935294810203,1.011707527210759,55.02867666412337
