r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.26,14.6,13.0,5.084643546995206,1.0279432385850331,5.155194789053272
0.44,10.0,7.0,8.215138465053403,1.0210420644093197,8.301120247526134
0.77,10.7,7.13,13.23110350651071,1.0147460471680851,13.328299740925097
0.89,17.4,9.6,14.658475364102502,1.014090367208567,14.761385771106834
1.22,23.5,11.2,17.45992554394205,1.0096085055435198,17.543606906974304
1.55,31.0,5.2,18.61013970930901,1.0061093782425157,18.666901338068715
1.8,32.3,2.41,18.524980431838518,1.0047382595477852,18.568816649062082
2.21,40.9,5.9,19.384130106868348,1.0026551282291105,19.40984672347731
2.31,43.8,4.26,19.732402286594503,1.0023819296993621,19.755888906566625
2.54,44.8,4.5,20.568714106623194,1.0017201931069164,20.586397585253458
3.1,51.7,12.7,22.752828395608315,1.0007472746330672,22.761328113744202
3.43,55.7,4.5,24.21915977072698,1.00035882489848,24.223504599776728
3.86,59.4,9.85,25.128241084485005,1.0001314484622115,25.12989256453998
4.09,62.0,4.5,25.37383888969109,1.0000929758054806,25.3750184388288
4.37,63.0,3.2,26.11673792800318,1.000119577676443,26.118299370745
4.76,66.6,6.9,27.046718839814933,1.0002491553746073,27.050088047646163
5.4,71.3,2.95,28.48563497624724,1.0006508384758912,28.4949032420829
5.86,72.3,15.5,29.402394460315644,1.0011009442519356,29.418575206602952
6.08,73.4,6.0,29.75292422603197,1.0013245343971968,29.772622091342647
6.43,72.4,5.81,30.400830580758807,1.001714757903156,30.426884448774153
6.97,77.1,12.1,31.606589502823617,1.0024963717277833,31.646015810703876
7.96,80.3,13.5,33.83586410895989,1.0039907059462283,33.90331137745431
10.29,84.7,6.0,38.60471085243354,1.0085931694377037,38.77022445216336
15.49,86.9,5.6,43.17133308110835,1.0237000829400458,43.679919429649495
16.26,85.8,8.6,43.08445891501946,1.0268111652908272,43.65821088731308
