r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.77,35.1,3.96,135.41353846643253,1.020216666881691,136.77549455584577
1.59,77.9,3.95,181.3490504524355,1.0135949756675278,182.5776069635481
2.36,115.0,6.7,186.30282982284513,1.0088724441329533,187.12748540931648
3.13,156.0,3.16,188.001365154618,1.00617639324126,188.58105661243326
3.95,192.0,3.14,196.11701252058683,1.0041675621631405,196.5252525418729
4.73,204.0,2.9,204.51862726900941,1.002516776272482,204.77582935487288
5.5,209.0,3.36,206.54727788087646,1.0015555497041482,206.70786273421322
6.27,220.0,3.25,207.24817610777666,1.0008781624537577,207.33915492204886
7.08,231.0,3.49,213.0514801638327,1.0004296323053228,213.0972421484414
7.86,235.0,4.65,222.65660376463126,1.0001941540780688,222.6782175593955
8.66,245.0,6.0,231.89626344553292,1.0000934892405295,231.90710309496677
9.45,246.0,5.57,238.70599762050387,1.0001287719816934,238.72136644792903
10.24,239.0,6.95,242.98477832983693,1.000261568706148,243.0165548590771
11.02,240.0,7.16,244.92552521123642,1.0004820160374484,244.98454711528333
11.79,240.0,4.85,245.14606523458622,1.0007502918819218,245.23801354211818
12.47,246.0,7.68,244.03631266678326,1.0010656358941845,244.16630497201888
13.34,241.0,6.21,241.6927334447604,1.001493426088507,241.87314123023074
14.11,250.0,5.62,239.12264008244807,1.0019860761822392,239.35998018707053
14.59,242.0,5.1,237.50460648164278,1.0022636658754551,237.77327006292083
14.98,244.0,7.41,236.18659000883179,1.0025306876234623,236.48525840920536
15.75,248.0,5.08,233.40705280689355,1.0030513247637762,233.76288193621562
16.52,249.0,5.22,230.50526544962048,1.0036324313201699,230.9235332345152
17.1,246.0,6.35,228.11197097039866,1.004075267587368,228.57630703875517
17.88,241.0,16.2,224.71569282095098,1.0046668099917204,225.23943520094124
18.65,247.0,14.6,221.31097781176604,1.0053229535366688,221.89921009342993
19.62,234.0,20.9,217.1471986924998,1.0062124007434616,217.82065707289917
20.78,249.0,10.0,212.86505467079374,1.0072419990085455,213.6344484538921
22.13,236.0,16.1,208.49436083501155,1.0086043075697233,209.38941443329617
23.0,245.0,22.1,205.49872846321944,1.0095375134604214,206.47637635697555
23.58,243.0,4.2,203.54549786227156,1.01015695609445,204.57658763602979
25.03,238.0,7.76,197.70218966920928,1.0117493943728704,198.86023850688113
25.9,247.0,6.14,194.22158196245852,1.0126984790419178,195.45085115500106
