r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.25,4.25,2.0,3.433846240005513,1.0258930449746813,3.478018496386982
0.41,6.84,2.0,5.14463798532025,1.0190517195186282,5.193413865273533
0.57,9.56,2.0,6.788225099390856,1.0140221306155464,6.835652110718068
0.74,12.3,2.0,9.051143574156804,1.0103930060882242,9.098056293317095
0.9,15.1,2.0,10.940100547984008,1.0077885109047766,10.9826214611288
1.07,17.5,2.0,13.004526135157713,1.0059485256340297,13.043147663567188
1.24,19.7,2.0,14.983167221919402,1.004430564393868,15.016322481978426
1.4,21.8,2.0,16.537185371156724,1.003243493114878,16.563982782888214
1.57,24.4,2.0,17.883402920026153,1.0024049244042301,17.904894122662544
1.72,27.3,2.0,19.01036822368257,1.0017450197085407,19.026947727553424
1.89,30.3,2.0,20.057180759019946,1.0011971375480746,20.069182770177356
2.06,32.6,2.0,20.81237372334064,1.0007912556136376,20.82060604896504
2.46,33.3,2.0,21.81966544198146,1.0002034989840116,21.821885468918357
2.79,34.6,2.0,22.22540213359479,1.0000989352503717,22.226501544265197
3.13,34.2,2.0,21.403518402356188,1.0002111478578584,21.405777936619174
