r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
3.54,223.0,8.0,162.22523046678035,1.0071753974170496,162.8062053979503
4.23,230.0,6.13,161.37946244798314,1.0051473590505342,161.7942683626777
4.97,248.0,5.1,161.98045067229563,1.0035684876933106,162.26920591920572
5.74,258.0,6.6,167.12465377675431,1.0026251199966651,167.3438711383609
6.47,263.0,7.0,173.3291951749618,1.0018007969654934,173.48519032200474
7.22,272.0,6.25,181.81829775905393,1.001269273473144,181.93364973849845
8.02,287.0,4.01,189.18831702829857,1.0007575181598736,189.25996025599798
8.79,289.0,7.25,195.74528423438457,1.000398810696963,195.7843130001165
9.5,292.0,6.93,202.5096306351873,1.0001952887450487,202.5294035956888
10.27,302.0,10.4,211.36220239200762,1.0001065490726895,211.37346231541522
11.08,302.0,10.3,219.162633676455,1.0001026132578095,219.173877883927
11.82,304.0,10.4,222.8105006502162,1.0001746620101644,222.82995806560012
12.56,303.0,10.4,225.30825462019806,1.0003043581575177,225.3425392143224
13.39,305.0,10.1,227.93530244347846,1.0005022190646347,227.9925319861337
14.1,300.0,8.78,229.88370298914188,1.0007251903203207,229.96704260071382
14.93,295.0,9.72,229.79410566853105,1.0010480872505005,229.91449626802475
15.64,294.0,5.32,228.80087434273497,1.001336623861966,228.95373363509006
16.35,290.0,5.32,228.586548379383,1.0016647287218636,228.77673655562717
17.18,291.0,4.03,228.39280023678504,1.0021004628808505,228.6325397114316
17.89,286.0,3.25,226.46672912372804,1.002495141446893,226.74908636423473
18.72,287.0,3.61,222.76641802569793,1.002947249056319,223.0944505627789
19.44,294.0,3.35,220.14586914134907,1.0034106172465371,220.52096623445786
20.26,290.0,3.75,218.41150564931326,1.0039059524453469,218.83764241466164
20.98,288.0,3.04,216.8708486634384,1.0043818113407366,217.34547287538672
21.69,290.0,6.4,215.0673266677205,1.00485298238148,215.58855402986674
22.52,294.0,4.19,212.96798468314432,1.0054650959986224,213.5491369922033
23.23,297.0,4.12,211.23158168228537,1.0059458643029844,211.85862814099679
24.06,293.0,5.15,209.70541814650377,1.0065825817819773,210.39448757505951
24.77,291.0,6.21,208.54097439112533,1.0071428251049088,209.28443500476155
25.95,297.0,4.0,207.06655186195573,1.0081356331654234,207.90715437024966
28.92,292.0,4.0,202.0065392505896,1.0107909365237355,203.0935345659475
31.76,288.0,4.0,193.9015804474012,1.013501864299552,195.20620790014434
34.72,285.0,4.0,189.85884388144788,1.0167858283230269,191.445681477588
