r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.63,29.5,2.53,32.52584971987665,1.0151952377889153,32.77203703753767
1.26,50.8,3.76,44.27149421467497,1.0064365820968761,44.413744234378846
1.88,68.2,2.58,53.76221070603403,1.0026061258571586,53.83222066575206
2.51,84.3,2.28,66.168567311073,1.0008787344228036,66.19763322607204
3.13,95.3,2.01,70.93660973009635,1.0001689217686536,70.94260084588852
3.77,106.0,3.58,72.34067458905814,1.0001429032814502,72.34584326430011
4.39,112.0,4.25,74.73848272476502,1.0005117940419836,74.75760563341305
5.02,115.0,3.18,75.43128064669192,1.0012233900828968,75.47740748356709
5.65,116.0,2.32,72.3922930980916,1.0021327808230012,72.46945042731217
6.28,116.0,2.01,69.05063649235971,1.0032380639706715,69.1623413276817
6.9,116.0,2.28,66.21693212464619,1.004489941558947,66.36542071277452
7.54,114.0,3.05,61.961233041313825,1.005888905187436,62.14340714683847
8.16,112.0,3.69,58.585056968479606,1.0073865796553367,58.801030470848104
8.79,109.0,5.1,56.43963589535283,1.009021846671115,56.693659112780736
9.41,107.0,6.39,55.94092062167014,1.0107332030535618,56.24033198524787
