r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.12,6.48,2.6,2.296867431960321,1.0348144395966425,2.336507448636971
0.19,8.6,2.65,2.2887769659798662,1.0273203845432866,2.3198314237094917
0.26,10.2,3.03,3.2727358585745967,1.0259669069847939,3.3149549540427747
0.33,11.7,3.55,4.2304136913545465,1.021510831065951,4.275671460377737
0.4,12.7,3.75,5.115310352266029,1.0195812624688536,5.165149673171632
0.47,14.1,3.43,6.122360655825497,1.0161083958749026,6.171474364776844
0.55,16.0,3.33,7.487062174177533,1.0144253128751475,7.5408704259561805
0.62,18.1,2.66,8.782767217682592,1.011932023239165,8.835009930758396
0.69,21.2,3.78,10.003929228058343,1.0110210461256368,10.058905053075566
0.76,21.6,3.33,11.087474915416944,1.0093462905680926,11.139167793275483
0.83,23.3,3.09,12.301174740649772,1.0085162975153725,12.353443923542086
0.9,24.5,3.26,13.121528112228392,1.0072478425236555,13.168993646539173
0.97,24.4,3.29,13.838410313327177,1.0064913174774341,13.88325241732054
1.04,25.3,2.78,14.451608906969495,1.0056867547949795,14.492642031464682
1.11,25.4,2.78,14.973459854021716,1.0051096380426734,15.011665591883487
1.19,25.9,2.73,15.400422072138154,1.0041029336906195,15.431983187270694
1.26,26.7,2.67,15.612280422795383,1.0038320457484062,15.642165306519027
1.33,27.1,3.16,15.824139787046876,1.00315613637584,15.849091686256784
1.4,28.6,3.34,15.94420898006546,1.0029173784923073,15.96744968810241
1.48,28.9,3.21,16.067535591994186,1.0023598907516367,16.08648323431258
1.55,30.4,4.14,16.175057959710685,1.002143947783901,16.19238791588725
1.62,30.8,4.35,16.377438749694655,1.0017508446837522,16.39176965542459
1.69,30.5,4.56,16.390109822694903,1.0015397413008191,16.402723233724466
1.75,33.0,4.04,16.393291310777098,1.001260594367461,16.403620701854557
1.83,32.1,4.35,16.497639225052776,1.0010903817736534,16.50663113712598
1.9,32.9,4.36,16.5072105456979,1.0008423817023537,16.514161768170705
1.97,34.2,4.9,16.51361862221603,1.0007475729290176,16.519790036157058
2.04,32.6,3.98,16.516830809813364,1.0005632641632547,16.521481824410955
2.11,33.7,4.73,16.617957154837054,1.0004832596376076,16.62197206381099
2.19,33.8,4.67,16.52973381515867,1.0003408150047424,16.53255036585273
2.26,34.9,3.74,16.532973114355446,1.000267419627465,16.535183587339926
2.33,36.1,5.47,16.54272347589719,1.000204846428731,16.544417748047994
2.4,37.2,5.39,16.175104327329702,1.000165243981015,16.17644069144164
2.48,37.6,7.1,15.723323440036461,1.0001295836154027,15.724342149584267
2.55,35.6,4.73,15.232202729743324,1.0001062004740593,15.23301154184527
2.62,38.3,7.78,14.774254634329273,1.0001047786402526,14.775028627210988
