galaxy,N,chi2_over_N
CamB,8,0.22552753963957953
D631-7,16,3.6578979025855194
DDO064,13,1.4156432046329672
DDO154,10,3.2477216325480156
DDO161,31,2.540091065213717
DDO168,9,2.57752949308777
DDO170,8,3.770279996400986
ESO079-G014,13,2.569359496281678
ESO116-G012,14,5.514194041169058
ESO444-G084,6,5.024477491178814
ESO563-G021,27,3.369855103172083
F563-1,17,8.810483068540647
F563-V2,9,6.021442693985019
F565-V2,7,6.0294326490589585
F568-1,10,9.766713106962367
F568-3,16,4.357221891987167
F568-V1,14,8.367289380992508
F571-8,11,8.564675970082753
F571-V1,7,5.451769229219556
F574-1,12,7.236286350023861
F579-V1,13,4.330861564735752
F583-1,23,5.6202062851061845
F583-4,10,2.2188731024670263
IC2574,33,2.046103792748333
IC4202,30,0.9985861818609842
KK98-251,14,0.5381072837630302
NGC0024,27,4.53879204510627
NGC0055,19,2.8219561278944347
NGC0100,20,3.2966185709119555
NGC0247,25,4.572811909846666
NGC0289,8,1.0938418170105422
NGC0300,25,5.4009977858594675
NGC0801,7,4.982131838465252
NGC0891,17,8.63071041130667
NGC1003,27,7.03083311401311
NGC1090,22,1.6003938117376386
NGC1705,8,4.518778609654493
NGC2366,25,1.7524493411084523
NGC2403,52,1.5587112360996507
NGC2683,9,1.3786757434468193
NGC2841,41,4.537641133530434
NGC2903,24,8.577203823223321
NGC2915,10,4.539641076228114
NGC2955,23,2.464095958450955
NGC2976,25,0.08053688098231497
NGC2998,10,1.374275157396926
NGC3109,24,5.5265671097450095
NGC3198,36,2.698975744285493
NGC3521,40,3.827407011020642
NGC3726,12,2.818910317646527
NGC3741,10,1.613111472976979
NGC3769,9,2.594193157811558
NGC3877,12,1.4835652938399342
NGC3893,10,2.20149269136344
NGC3917,16,2.3765023511073924
NGC3949,7,2.926070717588487
NGC3953,8,0.5513353389826614
NGC3972,10,1.6121357957257871
NGC3992,9,3.328278220628868
NGC4010,11,1.286850498501223
NGC4013,36,3.2141839353026826
NGC4051,7,2.018321551641681
NGC4085,7,5.142172175343819
NGC4088,12,6.001953779331285
NGC4100,24,1.8153955645885638
NGC4138,4,1.2456581168073668
NGC4157,17,2.9394455272045548
NGC4183,22,4.394418501391389
NGC4214,13,4.669682030688015
NGC4217,18,8.797694810269357
NGC4559,32,1.9185472810254534
NGC5005,17,2.712569672781914
NGC5033,11,3.476638790795512
NGC5055,14,11.069370699103533
NGC5371,18,2.008264235573218
NGC5585,21,3.6001224225804456
NGC5907,19,2.945167242682815
NGC5985,33,6.412954425107653
NGC6015,36,3.240912815133381
NGC6195,21,2.184135874077693
NGC6503,15,2.52796009000851
NGC6674,13,6.360546073322299
NGC6946,56,1.4463312577457625
NGC7331,27,7.816367756906063
NGC7793,37,0.48507372711449637
NGC7814,17,4.0250825058124295
UGC00128,21,16.53124090701247
UGC00191,8,3.6904980457158705
UGC00731,12,7.232880358473536
UGC01230,10,6.08878966397442
UGC01281,23,2.177421578377236
UGC02259,8,8.685369173352356
UGC02455,8,9.5235500292202
UGC02487,16,7.831952086712055
UGC02885,16,3.482044280697809
UGC02916,39,2.1224083427137077
UGC02953,86,2.2293963476974548
UGC03205,45,1.7952739977723469
UGC03546,23,4.918616300288381
UGC03580,38,6.746583048099858
UGC04278,22,4.165995653312629
UGC04305,21,0.19724370019507326
UGC04325,8,6.766633371737391
UGC04483,8,0.4406175755906339
UGC04499,9,2.390672334561734
UGC05005,10,3.0296630533013564
UGC05253,62,2.129506513336103
UGC05716,10,5.9958727133957215
UGC05721,20,5.534712931413834
UGC05750,10,1.7726858231276523
UGC05764,10,5.3685014611348425
UGC05829,11,2.4630940202163627
UGC05918,8,2.3734237716361335
UGC05986,15,6.343073352402668
UGC06399,9,4.401909907629542
UGC06446,17,7.512427754189182
UGC06614,13,3.3419111892909226
UGC06628,7,0.3287935853441587
UGC06667,8,13.037811771432477
UGC06786,41,4.368606363065739
UGC06787,63,5.418875286862734
UGC06818,8,1.9014370317789486
UGC06917,11,4.147486522282194
UGC06930,10,3.9107861972789864
UGC06973,9,19.35116489902301
UGC06983,14,6.644371245681123
UGC07089,12,0.9379472605456356
UGC07125,13,1.1582821666649676
UGC07151,11,1.2205633705488153
UGC07261,7,2.2253603654425773
UGC07323,9,0.6638839397150664
UGC07399,10,12.360536581981755
UGC07524,27,4.809749623405266
UGC07559,7,0.36227608987915716
UGC07577,9,0.027672652295267545
UGC07603,12,3.7883440245799807
UGC07608,8,4.552015016127749
UGC07690,7,0.9073258119715758
UGC07866,7,0.4231836909173477
UGC08286,17,7.978148831626163
UGC08490,20,5.027504170646365
UGC08550,11,3.961158143999263
UGC08699,36,2.258270381543783
UGC08837,8,0.4406241721784954
UGC09037,22,3.8439525896186737
UGC09133,45,1.80815891062595
UGC10310,7,2.4464792077366098
UGC11455,33,1.9851243629042108
UGC11557,11,2.260987292509471
UGC11820,7,6.398220258821789
UGC11914,60,0.3254367758808509
UGC12506,30,6.951048714108314
UGC12632,14,4.608169305007695
UGC12732,16,8.032739373822125
UGCA442,8,4.345143985049644
UGCA444,32,1.5493832322121244
