r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.010908213559104,13.123201756917034
0.9,17.8,2.22,20.57645499108143,1.003300296114315,20.61038121971517
1.35,26.0,2.35,26.643340631384795,1.0006939631328111,26.652583776129045
1.8,30.9,2.22,28.40977472631559,1.0000988026585347,28.411178172286068
2.25,34.7,1.82,28.156995578363823,1.0005319762048146,28.16448400840297
2.69,38.8,1.81,27.869512015821158,1.0016634473253252,27.892682116874656
3.14,42.5,1.57,27.03890715247197,1.003249357653152,27.082801064579964
3.59,45.6,1.59,26.289056658617476,1.0053154364030417,26.358832963012034
4.04,48.8,1.83,25.52609057415569,1.0078845659776823,25.626524066866224
4.49,51.8,1.91,24.616459940454476,1.010872268486469,24.749916557878986
4.94,54.8,2.19,23.785779364990336,1.0146068278201217,23.95886698301996
5.39,56.6,2.73,22.912599154177162,1.0190565045888464,23.129885883546542
5.84,58.4,3.27,22.092193191261025,1.0249013091135817,22.365564098240853
6.29,58.5,3.95,21.303694515271285,1.033661804797799,21.659287213266932
6.74,57.7,4.07,20.562927807099843,1.0311520155882645,20.880759836731233
7.19,57.3,3.94,19.850120906432785,1.032993861877165,20.174929549121906
