r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.49,13.8,1.6,12.865601423952167,1.0039314357171691,12.890866758531718
0.99,21.6,0.8,16.350966332299752,1.0001262329047174,16.351998314720777
1.48,28.9,0.7,16.907377088123397,1.0013274322267993,16.918595065190654
1.97,34.3,0.5,17.623677255328978,1.004628925183665,17.664419503298014
2.47,38.2,0.4,17.938375065763342,1.0100898090771087,18.0286453246166
2.96,42.0,0.2,18.61036270468687,1.017978579095405,18.776911401078333
3.46,44.6,0.2,19.48889170784219,1.0323902849613957,19.802001859007945
3.95,46.3,0.2,19.522832786253126,1.0315562592618743,19.828474076724362
4.44,47.4,0.3,18.93923176900267,1.044124237086613,19.35256110078623
4.94,48.2,0.6,18.278320491773854,1.0851076083397437,19.040252010503522
5.43,47.4,0.7,17.548244926487662,,
5.92,45.5,1.3,16.8462814888034,,
