r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.77,35.1,3.96,135.41353846643253,1.0202464173035475,136.77748878860552
1.59,77.9,3.95,181.3490504524355,1.01358910956895,182.5770786362498
2.36,115.0,6.7,186.30282982284513,1.0088636533902018,187.12667014610906
3.13,156.0,3.16,188.001365154618,1.0061745014870587,188.5808793327951
3.95,192.0,3.14,196.11701252058683,1.0041676306718257,196.5252592457772
4.73,204.0,2.9,204.51862726900941,1.0025169509493224,204.77584719477045
5.5,209.0,3.36,206.54727788087646,1.0015556186798202,206.70786985204785
6.27,220.0,3.25,207.24817610777666,1.0008781504881346,207.33915368266614
7.08,231.0,3.49,213.0514801638327,1.0004296181429273,213.09724064010572
7.86,235.0,4.65,222.65660376463126,1.000194142988587,222.67821632494216
8.66,245.0,6.0,231.89626344553292,1.0000934790335938,231.907101911547
9.45,246.0,5.57,238.70599762050387,1.000128766409602,238.721365782926
10.24,239.0,6.95,242.98477832983693,1.0002615651213507,243.01655442360843
11.02,240.0,7.16,244.92552521123642,1.000482013537344,244.9845468091874
11.79,240.0,4.85,245.14606523458622,1.0007502900976908,245.23801332350155
12.47,246.0,7.68,244.03631266678326,1.0010656345656077,244.16630480999464
13.34,241.0,6.21,241.6927334447604,1.001493425170712,241.87314111940128
14.11,250.0,5.62,239.12264008244807,1.0019860755109709,239.35998010689232
14.59,242.0,5.1,237.50460648164278,1.0022636652982095,237.77326999444904
14.98,244.0,7.41,236.18659000883179,1.002530687044752,236.48525834094983
15.75,248.0,5.08,233.40705280689355,1.0030513243710861,233.7628818904571
16.52,249.0,5.22,230.50526544962048,1.0036324309929612,230.92353319687183
17.1,246.0,6.35,228.11197097039866,1.0040752673030668,228.57630700639479
17.88,241.0,16.2,224.71569282095098,1.004666809605368,225.2394351576324
18.65,247.0,14.6,221.31097781176604,1.0053229532850427,221.89921006565996
19.62,234.0,20.9,217.1471986924998,1.0062124004177908,217.82065703764923
20.78,249.0,10.0,212.86505467079374,1.0072419986986763,213.63444842103075
22.13,236.0,16.1,208.49436083501155,1.008604307220211,209.38941439701622
23.0,245.0,22.1,205.49872846321944,1.009537513097728,206.47637631988553
23.58,243.0,4.2,203.54549786227156,1.0101569557342351,204.57658759955447
25.03,238.0,7.76,197.70218966920928,1.0117493939710533,198.8602384673924
25.9,247.0,6.14,194.22158196245852,1.0126984785740327,195.45085110985013
