r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.61,47.3,2.77,32.02893223321689,1.0020731275482437,32.062115074932045
1.22,70.4,3.27,39.888054602850715,1.0002714052518642,39.89346714938017
1.84,83.7,2.5,39.8540763285263,1.0029853412498457,39.9135210049465
2.45,89.1,2.45,40.60332252414819,1.007675307339682,40.75884616134709
3.07,91.7,2.48,41.31105905202625,1.0140973473172292,41.601228151125945
3.68,95.1,3.01,40.74000490917987,1.0234184763516068,41.21427870638557
4.3,96.9,3.62,40.091385608382254,1.039434169057752,40.87422778551994
4.91,100.0,3.9,40.19807458075573,1.0382570678507401,40.95978796008845
5.52,103.0,4.82,40.57416049655248,1.0530369688090513,41.63622548771695
6.13,106.0,4.97,40.21075726717914,1.1034366455483808,42.23922619284597
