r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.41,33.2,11.6,29.034231520741166,1.0277185407061546,29.433874335310374
0.98,50.4,11.8,47.803850263341765,1.020831626125918,48.29919979419038
1.78,53.9,9.75,62.455829191517424,1.01390600946181,62.888585583009984
2.69,67.6,5.1,75.96270729772604,1.0082500395599734,76.27541133746325
3.36,81.7,5.06,82.7209556279423,1.005975110835935,82.9677210034771
4.39,102.0,5.35,87.36533065238179,1.003261900769733,87.50770316530449
5.65,116.0,6.44,92.71797506416974,1.0014639916336023,92.78581941225089
6.34,132.0,9.1,96.73140389759676,1.0009084120359337,96.77532990990836
6.89,137.0,5.25,101.22834484471234,1.0005476663744772,101.25606073077478
8.34,154.0,4.2,115.10685904845114,1.0001190555561887,115.11371090008203
10.04,163.0,3.28,130.9806523880531,1.0002261115989373,130.99545967344633
11.65,170.0,2.41,136.90796397580382,1.000714654965656,136.9568762166672
13.36,175.0,2.18,137.8288072211321,1.0015822668306302,137.93780509722853
15.06,177.0,2.23,134.42007476563907,1.0026398509762207,134.59738230918762
16.67,178.0,2.03,130.66190339957552,1.0038228371161664,130.91141475371575
