r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.64,12.4,8.6,13.611245350811954,1.0232506576873432,13.768571325562554
1.18,21.9,6.2,21.226667190117247,1.0197281685295374,21.4350262074435
1.8,32.3,1.88,27.76613765002255,1.0115529678629196,27.926067707768087
2.03,37.9,6.2,29.79981879139536,1.0101454179272409,29.95060312190046
2.78,53.1,9.5,36.42926845271532,1.0066908715723808,36.550937053109664
3.0,62.4,11.0,38.11444345651658,1.0060522972600159,38.22960943554662
3.64,68.0,6.2,42.50319517401015,1.003712472191243,42.582018049910225
4.19,78.0,7.98,45.735798888835426,1.0026144520853673,45.795546889646154
4.6,82.3,6.2,46.93404414707942,1.0021046882427498,46.98340895180156
5.14,85.7,6.3,48.025644191410905,1.0013416177602308,48.05784942185102
5.39,85.5,6.51,48.93230630166536,1.0010173504131623,48.957190625271515
6.31,89.5,15.6,52.515719551387654,1.000451649621473,52.52757756505034
9.1,95.2,15.5,57.83659913929933,1.000284377021893,57.84482225463445
10.17,97.5,6.2,59.992083644427616,1.0006779455074348,60.01241588076861
11.99,101.0,10.2,61.64088253748481,1.0017013288584433,61.69329596000214
14.02,107.0,10.7,61.95728367189769,1.003293944382287,62.05924170315013
15.94,117.0,11.7,62.64542281763289,1.0050102300085768,62.80216072832948
17.98,120.0,12.0,62.60240330849927,1.0071202524249925,62.824880444589134
