r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.42,35.7,9.1,15.483607460795433,1.0279521520434858,15.698516096447605
1.47,83.3,9.3,40.92651951974417,1.0140927957172985,41.2138951200995
2.11,94.2,10.4,48.84802964296513,1.0084052882446244,49.05289094884363
2.84,97.6,9.1,53.605969816803054,1.0052688954079598,53.74700640821137
3.9,101.0,9.1,57.91132963419162,1.0023842862840842,57.98032712570411
4.74,105.0,16.7,63.96273055459718,1.0012455230101074,64.00255168526964
5.69,106.0,9.1,69.23770071283418,1.0004523823893223,69.2533599002891
6.32,108.0,11.5,71.41734313176316,1.0001781119883026,71.42370299107621
7.37,110.0,23.0,74.55555780758401,1.0001110530471167,74.55969750359273
8.21,112.0,19.7,75.48106650014955,1.0002716032380845,75.49131625526789
9.16,113.0,9.1,77.29093737301936,1.0006493255334474,77.31602679045064
10.85,114.0,9.1,77.96495238246479,1.001690184557691,78.0308121447045
12.21,114.0,9.1,75.47465799856266,1.0028270762680438,75.58126900961054
15.16,114.0,11.2,71.64346795067922,1.0058117143400975,71.85135203255892
