r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.25,4.25,2.0,3.433846240005513,1.0258917935607075,3.478016375092615
0.41,6.84,2.0,5.14463798532025,1.0190503058381826,5.193410262988177
0.57,9.56,2.0,6.788225099390856,1.0140217700434242,6.8356508953867
0.74,12.3,2.0,9.051143574156804,1.0103930118414566,9.098056319219507
0.9,15.1,2.0,10.940100547984008,1.007788805664297,10.982623067235618
1.07,17.5,2.0,13.004526135157713,1.005948705810169,13.043148831650754
1.24,19.7,2.0,14.983167221919402,1.0044307075442394,15.016323552033507
1.4,21.8,2.0,16.537185371156724,1.0032435688972996,16.563983408488433
1.57,24.4,2.0,17.883402920026153,1.002404984543425,17.904894659763805
1.72,27.3,2.0,19.01036822368257,1.001745051991156,19.02694803413824
1.89,30.3,2.0,20.057180759019946,1.0011971582824235,20.069182977989293
2.06,32.6,2.0,20.81237372334064,1.000791269980877,20.820606198414104
2.46,33.3,2.0,21.81966544198146,1.000203503620029,21.821885519491385
2.79,34.6,2.0,22.22540213359479,1.0000989376201925,22.226501570599
3.13,34.2,2.0,21.403518402356188,1.0002111490320422,21.40577794918368
