r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
2.61,120.0,10.5,126.30913070716623,1.0034578074538083,126.5273185838368
3.5,148.0,7.5,135.4582518711946,1.0013608548692263,135.55039004599885
4.37,168.0,6.2,153.08583507300733,1.0003888926241038,153.11559915558792
5.24,182.0,6.1,178.7321593894059,1.0000988736444165,178.74099512099266
6.11,190.0,5.2,197.8120491780013,1.000232239698212,197.83501774982705
6.98,194.0,5.7,208.15997814181284,1.0006607316366158,208.22873572762805
7.85,195.0,6.1,200.25947293449065,1.0013171576076008,200.3913161783292
8.72,193.0,4.8,192.80781649092964,1.0021445120735053,193.01444511602816
9.6,192.0,3.9,181.98534995982507,1.0031869156469853,182.27510526668678
10.47,192.0,3.5,171.5781017496114,1.0043256863965266,171.94879783378317
11.35,191.0,4.4,164.22001644135833,1.005533327083237,164.67373120144592
12.19,189.0,4.8,159.81287182201564,1.0068144581131395,160.35646637923938
13.12,185.0,5.3,155.1769857291989,1.0082884834141081,155.81874959730962
13.94,182.0,4.5,150.1972319984626,1.0097207106212527,150.9254784245291
14.86,179.0,6.6,145.1406369698025,1.0114725318203928,145.97082795013674
15.68,176.0,6.2,141.12055838891797,1.0131133746832774,142.04282809835198
16.61,174.0,6.6,137.16320825935796,1.0149894646278348,138.18738609470557
17.42,178.0,8.7,133.94311815095242,1.0168682021769018,135.06808375161117
18.35,177.0,6.2,130.27402580714238,1.019115523451632,131.51325978726666
19.16,169.0,5.9,126.88241012843348,1.021353189572662,128.22992675852217
20.09,158.0,6.3,123.20734556023841,1.0238971504213326,124.67080627898959
21.02,158.0,7.6,119.88829175528359,1.026900740443588,121.49013247912619
21.95,158.0,8.9,116.87310597395793,1.030733964808028,118.65550155517482
22.76,159.0,9.0,114.21613283595273,1.0344093320999954,116.16456396112099
