r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.12,6.48,2.6,2.296867431960321,1.034815752529295,2.3365089308717715
0.19,8.6,2.65,2.2887769659798662,1.0273194031069726,2.319830315599802
0.26,10.2,3.03,3.2727358585745967,1.025965662301463,3.3149529432223486
0.33,11.7,3.55,4.2304136913545465,1.0215097070071761,4.2756691079272295
0.4,12.7,3.75,5.115310352266029,1.0195802156045404,5.165147021488802
0.47,14.1,3.43,6.122360655825497,1.0161077946570847,6.17147253898694
0.55,16.0,3.33,7.487062174177533,1.0144249159658476,7.540868950716035
0.62,18.1,2.66,8.782767217682592,1.0119321124446452,8.835010320177483
0.69,21.2,3.78,10.003929228058343,1.011021195292748,10.058905795126268
0.76,21.6,3.33,11.087474915416944,1.0093464042588915,11.139168420622541
0.83,23.3,3.09,12.301174740649772,1.0085164919171132,12.353445114167807
0.9,24.5,3.26,13.121528112228392,1.0072480317583112,13.168994883588166
0.97,24.4,3.29,13.838410313327177,1.006491472962491,13.883253489678626
1.04,25.3,2.78,14.451608906969495,1.0056868775153858,14.492642915707641
1.11,25.4,2.78,14.973459854021716,1.0051097571070942,15.01166648101794
1.19,25.9,2.73,15.400422072138154,1.0041030193905762,15.431983845828805
1.26,26.7,2.67,15.612280422795383,1.003832108608669,15.642165796277553
1.33,27.1,3.16,15.824139787046876,1.0031561805973215,15.849092035589397
1.4,28.6,3.34,15.94420898006546,1.0029174293212513,15.967450092726267
1.48,28.9,3.21,16.067535591994186,1.0023599201905058,16.086483470539047
1.55,30.4,4.14,16.175057959710685,1.00214397398665,16.19238812757594
1.62,30.8,4.35,16.377438749694655,1.0017508668737807,16.39176983697364
1.69,30.5,4.56,16.390109822694903,1.0015397587631503,16.402723376719184
1.75,33.0,4.04,16.393291310777098,1.0012606053546065,16.403620791855584
1.83,32.1,4.35,16.497639225052776,1.0010903940913403,16.50663123867701
1.9,32.9,4.36,16.5072105456979,1.0008423908937525,16.51416184400095
1.97,34.2,4.9,16.51361862221603,1.000747580459653,16.51979009831285
2.04,32.6,3.98,16.516830809813364,1.0005632694641833,16.5214818681759
2.11,33.7,4.73,16.617957154837054,1.0004832653009625,16.62197211085632
2.19,33.8,4.67,16.52973381515867,1.000340819064099,16.532550399397056
2.26,34.9,3.74,16.532973114355446,1.0002674227268544,16.53518361295756
2.33,36.1,5.47,16.54272347589719,1.0002048493321025,16.54441777206037
2.4,37.2,5.39,16.175104327329702,1.0001652467701654,16.176440713997177
2.48,37.6,7.1,15.723323440036461,1.000129585773688,15.724342166550878
2.55,35.6,4.73,15.232202729743324,1.0001062020950406,15.233011554190174
2.62,38.3,7.78,14.774254634329273,1.0001047801425942,14.775028638308395
