galaxy,N,chi2_over_N
CamB,8,0.22552760659255722
D631-7,16,3.6578979700233156
DDO064,13,1.4156432172445363
DDO154,10,3.2477220349986147
DDO161,31,2.540091092207255
DDO168,9,2.5775294315249315
DDO170,8,3.7702799604910027
ESO079-G014,13,2.5693588356622854
ESO116-G012,14,5.514194021417551
ESO444-G084,6,5.024477455268293
ESO563-G021,27,3.3698542392146145
F563-1,17,8.81048290425269
F563-V2,9,6.021442678304145
F565-V2,7,6.029432598867804
F568-1,10,9.766713365696447
F568-3,16,4.357221460060538
F568-V1,14,8.367289069571358
F571-8,11,8.564677169844595
F571-V1,7,5.451769600874384
F574-1,12,7.236285815809228
F579-V1,13,4.330861973983316
F583-1,23,5.620206136155075
F583-4,10,2.218873111688223
IC2574,33,2.0461037374253697
IC4202,30,0.9985922622298545
KK98-251,14,0.5381072568549563
NGC0024,27,4.538792050508683
NGC0055,19,2.8219557809401032
NGC0100,20,3.2966185493236964
NGC0247,25,4.572811876196224
NGC0289,8,1.0938418377276193
NGC0300,25,5.400997710077839
NGC0801,7,4.982133077475497
NGC0891,17,8.63071100554542
NGC1003,27,7.030833633264634
NGC1090,22,1.6003936779753447
NGC1705,8,4.518777893009189
NGC2366,25,1.7524493800127836
NGC2403,52,1.5587115577300712
NGC2683,9,1.3786778440295575
NGC2841,41,4.537639348605152
NGC2903,24,8.577198337263864
NGC2915,10,4.539641898750341
NGC2955,23,2.4641003674292183
NGC2976,25,0.0805368157621086
NGC2998,10,1.3742753862852708
NGC3109,24,5.526567083115265
NGC3198,36,2.6989744846157455
NGC3521,40,3.8274071406549437
NGC3726,12,2.8189109308081317
NGC3741,10,1.613111650685422
NGC3769,9,2.594194024000858
NGC3877,12,1.4835638300691105
NGC3893,10,2.20149331180308
NGC3917,16,2.376502095010798
NGC3949,7,2.926071153238961
NGC3953,8,0.5513358137202946
NGC3972,10,1.6121349829729354
NGC3992,9,3.328277780219807
NGC4010,11,1.2868506850468568
NGC4013,36,3.214184046004398
NGC4051,7,2.0183208639891044
NGC4085,7,5.142171468077827
NGC4088,12,6.001954334913069
NGC4100,24,1.8153954772531649
NGC4138,4,1.245658131891961
NGC4157,17,2.939445654256103
NGC4183,22,4.394418378159328
NGC4214,13,4.669682577743059
NGC4217,18,8.797767744922428
NGC4559,32,1.91854724300803
NGC5005,17,2.7125772595259616
NGC5033,11,3.4766388700897988
NGC5055,14,11.069370175497076
NGC5371,18,2.008264471663998
NGC5585,21,3.600121937884424
NGC5907,19,2.945166567681467
NGC5985,33,6.412953601590298
NGC6015,36,3.240910366223952
NGC6195,21,2.184149934583891
NGC6503,15,2.5279607457788678
NGC6674,13,6.360547429956164
NGC6946,56,1.4463315809316595
NGC7331,27,7.816368485552631
NGC7793,37,0.4850738083200604
NGC7814,17,4.025084033039187
UGC00128,21,16.53124068267783
UGC00191,8,3.690497997405541
UGC00731,12,7.232880388817166
UGC01230,10,6.08878942196373
UGC01281,23,2.1774215508678028
UGC02259,8,8.685368947978793
UGC02455,8,9.52355058578586
UGC02487,16,7.831953115835585
UGC02885,16,3.4820447946953705
UGC02916,39,2.122458223703189
UGC02953,86,2.2294031222903605
UGC03205,45,1.7952748507276348
UGC03546,23,4.918621719854627
UGC03580,38,6.746593983340559
UGC04278,22,4.165995598509944
UGC04305,21,0.19724367439267274
UGC04325,8,6.766633240676259
UGC04483,8,0.44061757622212405
UGC04499,9,2.390672321880727
UGC05005,10,3.0296629365627545
UGC05253,62,2.1295396102692137
UGC05716,10,5.9958734272087835
UGC05721,20,5.5347131916452685
UGC05750,10,1.7726856471183585
UGC05764,10,5.368501383882247
UGC05829,11,2.463094007016698
UGC05918,8,2.3734237897226294
UGC05986,15,6.343073093371872
UGC06399,9,4.401909816837024
UGC06446,17,7.5124277388669665
UGC06614,13,3.3419268503395854
UGC06628,7,0.328793497827823
UGC06667,8,13.037811522318357
UGC06786,41,4.36860364994604
UGC06787,63,5.418910351121774
UGC06818,8,1.9014370980395074
UGC06917,11,4.1474864032486645
UGC06930,10,3.9107859347707548
UGC06973,9,19.35116609134527
UGC06983,14,6.644371717949537
UGC07089,12,0.9379472619972615
UGC07125,13,1.158282142029892
UGC07151,11,1.2205633587720202
UGC07261,7,2.225360166780643
UGC07323,9,0.6638838788788157
UGC07399,10,12.360537875789674
UGC07524,27,4.809749395938133
UGC07559,7,0.36227609015006657
UGC07577,9,0.02767265823853175
UGC07603,12,3.7883440139331097
UGC07608,8,4.552014967349576
UGC07690,7,0.9073260243799706
UGC07866,7,0.4231836727550485
UGC08286,17,7.9781487655958
UGC08490,20,5.0275045012495125
UGC08550,11,3.9611580279163374
UGC08699,36,2.2582780748360545
UGC08837,8,0.4406240791389304
UGC09037,22,3.8439537721249013
UGC09133,45,1.8081678586130145
UGC10310,7,2.446479091964151
UGC11455,33,1.9851238178732824
UGC11557,11,2.2609864326542946
UGC11820,7,6.398221123790181
UGC11914,60,0.32543885033212566
UGC12506,30,6.9510487102018015
UGC12632,14,4.608169199139046
UGC12732,16,8.032739478077511
UGCA442,8,4.345143995670434
UGCA444,32,1.5493831978078774
