r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.0050929027405484,13.08540130909901
0.9,17.8,2.22,20.57645499108143,1.003827100432486,20.615791470755138
1.35,26.0,2.35,26.643340631384795,1.003149909899215,26.68526970034914
1.8,30.9,2.22,28.40977472631559,1.0031184081149398,28.454036882333796
2.25,34.7,1.82,28.156995578363823,1.0037061134583969,28.209123834853106
2.69,38.8,1.81,27.869512015821158,1.004785812690447,27.93612154790019
3.14,42.5,1.57,27.03890715247197,1.006335285244698,27.124421521584782
3.59,45.6,1.59,26.289056658617476,1.0083744131796106,26.398904870797576
4.04,48.8,1.83,25.52609057415569,1.0108256380894933,25.66388675434182
4.49,51.8,1.91,24.616459940454476,1.013719723996944,24.784750200928
4.94,54.8,2.19,23.785779364990336,1.0169217056541746,23.986183106791596
5.39,56.6,2.73,22.912599154177162,1.0205324832812799,23.14663022789464
5.84,58.4,3.27,22.092193191261025,1.024155077680036,22.35742042338308
6.29,58.5,3.95,21.303694515271285,1.0276284096346489,21.59598300329995
