r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,18.9,9.78,65.19,,
1.34,58.3,10.5,120.17,,
2.23,74.1,5.69,137.48,1.0165396004447969,138.6122695136431
3.12,119.0,4.27,146.18,1.0126269697349224,147.10001009351663
4.01,141.0,3.76,157.86,1.0090849314271741,158.57545235264598
4.9,195.0,4.54,175.79,1.0069551506518517,176.40026368624768
5.79,227.0,4.2,199.19,1.0048758728301934,199.67502204700247
6.69,246.0,4.24,217.87,1.003587926853752,218.26050085331428
7.58,268.0,5.56,228.65,1.00231429138816,228.91442846023853
8.47,283.0,2.96,241.76,1.0016493687388033,241.959293549866
10.23,291.0,9.81,260.94,1.0006959697445894,261.03078737900677
12.06,310.0,4.74,275.0400029086679,1.000286565573263,275.07940858384444
13.44,310.0,20.4,277.98028779033956,1.000213927564478,278.0100200232585
15.18,310.0,16.1,282.2671334038024,1.0004052224655444,282.324318103128
16.83,314.0,13.5,283.7363587910439,1.00079049312294,283.8484824573506
18.56,317.0,12.7,277.4176075882712,1.0013249393172146,277.60132750177144
20.3,319.0,10.4,274.1903712751416,1.0020203210141667,274.46720780551277
21.94,318.0,10.8,275.0623645648383,1.0027907285427953,275.44590935484433
23.68,317.0,9.3,274.2245512349323,1.0036815173031721,274.7288687131365
25.41,317.0,7.23,265.4585180400132,1.0046159212766195,266.0704804712089
27.06,312.0,8.39,257.17034238029856,1.0055633616299382,257.8847159862797
28.8,312.0,8.37,247.63895028851982,1.0066743609869073,248.46399179607056
30.53,311.0,11.5,238.15547211853016,1.0078659089909392,239.09029205192095
32.18,310.0,14.5,230.78446091537447,1.0090582280252296,231.82735368516703
33.91,313.0,15.9,224.30081163473304,1.0103288004699174,225.4562149808029
35.65,320.0,8.83,217.71449767987434,1.0116705727193374,218.98123894033466
37.3,321.0,7.88,212.31512287164097,1.0130415531389698,213.69509767097196
39.03,320.0,8.0,206.59717931278735,1.0145176956602686,208.0914330610526
40.76,315.0,9.82,201.30546962266078,1.0160744408361468,202.91695593520973
42.41,312.0,9.07,196.97196805637088,1.0177337078598143,198.71081455423777
