r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.39,17.4,30.4,12.30018699044856,,
1.18,46.3,37.1,29.12108686158537,1.0123364732902522,29.30016202063014
1.95,69.1,13.1,34.879296151155344,1.0085156544543856,35.02749134203013
2.74,85.2,6.2,37.08001213592034,1.005601018097,37.183710044713926
3.53,93.2,6.2,41.37856449902534,1.0034053262224896,41.44895837679699
4.3,100.0,12.4,44.97301968958722,1.0020142700667323,45.01829080767667
5.09,108.0,6.2,46.422288827674144,1.0011439734512537,46.44883417103473
5.87,112.0,6.2,46.55347570267981,1.0006736240111707,46.56915283251989
6.4,113.0,24.9,47.139547091587545,1.0005200756785892,47.151803564192384
7.44,113.0,15.5,48.83667883875806,1.000553382256588,48.850189645626415
8.21,112.0,13.1,50.11723256525644,1.0008212582781686,50.137807937761224
9.0,111.0,26.4,50.10559350012731,1.0012170658642379,50.136075132137265
9.72,111.0,19.4,50.89229902450861,1.0016940087185542,50.93538678359754
11.79,113.0,12.5,53.23425400998872,1.0035293235144416,53.32811172159747
17.63,118.0,14.6,48.939710869599544,1.0110707736587843,49.20986545356041
