r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.47,15.3,4.4,12.992405473968244,,
1.41,41.0,4.36,32.891774047624736,1.0158863061480674,33.15200897334643
2.35,60.7,4.4,41.172943785937875,1.0112127572836638,41.403131437747845
3.29,74.9,4.4,42.566806316659466,1.0076620074300606,42.729568733007035
4.22,83.0,6.28,44.701026833843535,1.0049652060633214,44.81186432619132
5.17,86.8,4.4,47.33704785894448,1.003007574154452,47.40817925670376
6.11,89.4,4.4,49.95313904050475,1.0018204566291873,49.99858712739954
7.05,92.5,4.4,51.06229626642343,1.0010164003950441,51.08823954495655
7.99,94.7,4.4,52.661821085108706,1.0005367719588798,52.67595288340588
8.92,96.3,4.4,52.706065115885856,1.0003648567933,52.715679321966554
9.87,97.8,4.4,54.40236851461524,1.000330626810788,54.41136121217059
10.79,98.8,4.62,56.197054193258204,1.0004232039848087,56.20894434403603
11.8,99.5,4.4,57.813621232370494,1.0007049216964108,57.83399468055899
12.6,99.7,5.14,58.48278806623364,1.0009952308800294,58.511882767364476
