r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.85,10.3,0.2,9.59,1.0118502253847101,9.646654482938818
1.14,12.9,2.7,11.99,1.0103327569244305,12.05178568382013
1.42,16.4,1.8,13.861908238045727,1.0088676149627813,13.923233618098054
1.71,18.6,2.1,15.652683476005,1.0076599820936314,15.71251874789091
1.99,19.8,2.0,17.53046491111973,1.0064968317840959,17.587318958634924
2.28,26.1,0.6,18.698804774637335,1.0054067630227874,18.74928663387307
2.55,27.7,2.7,19.922020479860972,1.0044972592245267,19.966767471779672
2.84,29.7,2.6,20.791007671587252,1.003520384774543,20.82757169342966
3.13,33.0,3.4,21.517811226981244,1.0029207813732062,21.54921272558357
3.41,34.8,1.2,22.01645975174029,1.0023488366036628,22.042301119626604
3.7,35.0,0.9,21.924235448471173,1.0018737372085937,21.94476596363932
3.98,39.0,10.2,21.89594711356419,1.0015311242981177,21.912703410352115
4.26,35.9,5.4,22.723540657212734,1.0011885113876418,22.737040240720972
4.55,40.0,4.1,24.82737400531921,1.0009943809558544,24.839714872148132
4.84,38.7,1.4,27.12151175727489,1.0008049165495077,27.13242483851724
5.12,41.8,0.5,28.330981274922337,1.000690899693189,28.340766518194066
5.41,42.9,0.4,28.895406209292158,1.0006437243482607,28.904705051325053
5.68,44.4,1.7,29.920482950647706,1.0005998024753964,29.929454795385137
5.97,46.1,1.3,30.779416823585205,1.0006524540536987,30.789456263922354
6.26,49.0,0.9,31.710763157010273,1.0007090076615734,31.722002752139844
6.54,51.9,0.6,32.47910867003588,1.0008005260519628,32.49210625564723
6.83,53.1,2.1,32.45592241795016,1.0009348080777172,32.47108890356284
7.1,54.0,0.5,32.57555218258011,1.001059829274109,32.59280987315127
7.39,55.9,1.1,32.749064108765,1.001268581213209,32.769829948802965
7.68,58.8,3.6,33.319059110365046,1.0014810076546121,33.34372287273186
7.96,57.3,4.6,33.76046504419037,1.0017129845341965,33.78936824904479
8.25,54.0,9.0,34.0532670972992,1.0019831435051305,34.08701663078095
8.52,63.8,12.0,33.90553494637712,1.0022346708228966,33.94339766034539
8.81,60.5,6.2,34.00629500548391,1.0025378975874852,34.0494199082024
9.1,61.0,5.7,34.217640187482246,1.0028431018281065,34.266247780605084
9.38,66.0,1.3,34.77264729640238,1.0031509856164182,34.82738826405562
9.67,65.2,3.4,35.80586125203526,1.0034851384643257,35.86820117561001
9.96,67.1,4.7,35.81432115788319,1.0038194763084296,35.88265194869015
10.23,67.5,9.3,36.23216526789422,1.0041855280026637,36.30791146236521
