galaxy,N,chi2_over_N
CamB,8,0.22647631981909158
D631-7,14,3.053996136967765
DDO064,13,1.4105546517390968
DDO154,7,2.240393615674854
DDO161,24,1.5710043746834443
DDO168,9,2.573956434017833
DDO170,8,3.768727151219732
ESO079-G014,13,2.567308481904165
ESO116-G012,14,5.509367757242716
ESO444-G084,5,3.8931990989247707
ESO563-G021,27,3.369811889381166
F563-1,17,8.81039849915301
F563-V2,9,6.020008350450013
F565-V2,7,6.027661416189473
F568-1,10,9.76308353353114
F568-3,16,4.354895811867614
F568-V1,14,8.364638379208865
F571-8,9,7.084758319060443
F571-V1,7,5.454135503265631
F574-1,12,7.232579970996336
F579-V1,13,4.32896139568412
F583-1,23,5.617577014391611
F583-4,10,2.2169664829098052
IC2574,33,2.0452307253165984
