r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.0,13.052206709978202
0.9,17.8,2.22,20.57645499108143,1.0,20.57645499108143
1.35,26.0,2.35,26.643340631384795,1.0,26.643340631384795
1.8,30.9,2.22,28.40977472631559,1.0,28.40977472631559
2.25,34.7,1.82,28.156995578363823,1.0,28.156995578363823
2.69,38.8,1.81,27.869512015821158,1.0,27.869512015821158
3.14,42.5,1.57,27.03890715247197,1.0,27.03890715247197
3.59,45.6,1.59,26.289056658617476,1.0,26.289056658617476
4.04,48.8,1.83,25.52609057415569,1.0,25.52609057415569
4.49,51.8,1.91,24.616459940454476,1.0,24.616459940454476
4.94,54.8,2.19,23.785779364990336,1.0,23.785779364990336
5.39,56.6,2.73,22.912599154177162,1.0,22.912599154177162
5.84,58.4,3.27,22.092193191261025,1.0,22.092193191261025
6.29,58.5,3.95,21.303694515271285,1.0,21.303694515271285
