r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.1,6.29,4.62,2.262410219213129,,
0.3,13.9,4.62,6.768943787622999,1.0,6.768943787622999
0.49,15.6,4.62,9.691155761827378,1.0,9.691155761827378
0.69,18.4,4.62,14.140951170271396,1.0,14.140951170271396
0.89,22.5,4.62,15.274897708331798,1.0,15.274897708331798
1.09,26.5,4.62,17.146107429967888,1.0,17.146107429967888
1.29,35.3,4.62,19.671799612643476,1.0,19.671799612643476
1.48,40.5,4.62,22.844255295369116,1.0,22.844255295369116
1.68,44.2,4.89,25.09904380648793,1.0,25.09904380648793
1.88,46.3,4.62,26.6757792763398,1.0,26.6757792763398
2.08,46.4,4.62,27.395977806970134,1.0,27.395977806970134
2.27,46.3,4.62,27.55252801468497,1.0,27.55252801468497
2.37,46.4,6.73,27.75392224533318,1.0,27.75392224533318
2.98,46.9,8.65,28.065868951450625,1.0,28.065868951450625
