r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.64,12.4,8.6,13.611245350811954,,
1.18,21.9,6.2,21.226667190117247,1.0,21.226667190117247
1.8,32.3,1.88,27.76613765002255,1.0,27.76613765002255
2.03,37.9,6.2,29.79981879139536,1.0,29.79981879139536
2.78,53.1,9.5,36.42926845271532,1.0,36.42926845271532
3.0,62.4,11.0,38.11444345651658,1.0,38.11444345651658
3.64,68.0,6.2,42.50319517401015,1.0,42.50319517401015
4.19,78.0,7.98,45.735798888835426,1.0,45.735798888835426
4.6,82.3,6.2,46.93404414707942,1.0,46.93404414707942
5.14,85.7,6.3,48.025644191410905,1.0,48.025644191410905
5.39,85.5,6.51,48.93230630166536,1.0,48.93230630166536
6.31,89.5,15.6,52.515719551387654,1.0,52.515719551387654
9.1,95.2,15.5,57.83659913929933,1.0,57.83659913929933
10.17,97.5,6.2,59.992083644427616,1.0,59.992083644427616
11.99,101.0,10.2,61.64088253748481,1.0,61.64088253748481
14.02,107.0,10.7,61.95728367189769,1.0,61.95728367189769
15.94,117.0,11.7,62.64542281763289,1.0,62.64542281763289
17.98,120.0,12.0,62.60240330849927,1.0,62.60240330849927
