r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.85,10.3,0.2,9.59,1.0,9.59
1.14,12.9,2.7,11.99,1.0,11.99
1.42,16.4,1.8,13.861908238045727,1.0,13.861908238045727
1.71,18.6,2.1,15.652683476005,1.0,15.652683476005
1.99,19.8,2.0,17.53046491111973,1.0,17.53046491111973
2.28,26.1,0.6,18.698804774637335,1.0,18.698804774637335
2.55,27.7,2.7,19.922020479860972,1.0,19.922020479860972
2.84,29.7,2.6,20.791007671587252,1.0,20.791007671587252
3.13,33.0,3.4,21.517811226981244,1.0,21.517811226981244
3.41,34.8,1.2,22.01645975174029,1.0,22.01645975174029
3.7,35.0,0.9,21.924235448471173,1.0,21.924235448471173
3.98,39.0,10.2,21.89594711356419,1.0,21.89594711356419
4.26,35.9,5.4,22.723540657212734,1.0,22.723540657212734
4.55,40.0,4.1,24.82737400531921,1.0,24.82737400531921
4.84,38.7,1.4,27.12151175727489,1.0,27.12151175727489
5.12,41.8,0.5,28.330981274922337,1.0,28.330981274922337
5.41,42.9,0.4,28.895406209292158,1.0,28.895406209292158
5.68,44.4,1.7,29.920482950647706,1.0,29.920482950647706
5.97,46.1,1.3,30.779416823585205,1.0,30.779416823585205
6.26,49.0,0.9,31.710763157010273,1.0,31.710763157010273
6.54,51.9,0.6,32.47910867003588,1.0,32.47910867003588
6.83,53.1,2.1,32.45592241795016,1.0,32.45592241795016
7.1,54.0,0.5,32.57555218258011,1.0,32.57555218258011
7.39,55.9,1.1,32.749064108765,1.0,32.749064108765
7.68,58.8,3.6,33.319059110365046,1.0,33.319059110365046
7.96,57.3,4.6,33.76046504419037,1.0,33.76046504419037
8.25,54.0,9.0,34.0532670972992,1.0,34.0532670972992
8.52,63.8,12.0,33.90553494637712,1.0,33.90553494637712
8.81,60.5,6.2,34.00629500548391,1.0,34.00629500548391
9.1,61.0,5.7,34.217640187482246,1.0,34.217640187482246
9.38,66.0,1.3,34.77264729640238,1.0,34.77264729640238
9.67,65.2,3.4,35.80586125203526,1.0,35.80586125203526
9.96,67.1,4.7,35.81432115788319,1.0,35.81432115788319
10.23,67.5,9.3,36.23216526789422,1.0,36.23216526789422
