galaxy,N,chi2_over_N
CamB,8,0.22433806420292698
D631-7,14,3.095288954243135
DDO064,13,1.4183509624658053
DDO154,7,2.2746616731006895
DDO161,24,1.607677368296189
DDO168,9,2.580731034619529
DDO170,8,3.7898403330968256
ESO079-G014,13,2.577736162996579
ESO116-G012,14,5.5643950433993
ESO444-G084,5,3.9383261026913567
ESO563-G021,27,3.446056110492441
F563-1,17,8.849605136445357
F563-V2,9,6.044168031226802
F565-V2,7,6.035364450139961
F568-1,10,9.786369143224436
F568-3,16,4.375808871384346
F568-V1,14,8.384311909305358
F571-8,9,7.127896217948215
F571-V1,7,5.546502445557641
F574-1,12,7.251402553271085
F579-V1,13,4.352977756079539
F583-1,23,5.646008211776278
F583-4,10,2.2234227257201815
IC2574,33,2.051612717820293
