galaxy,N,chi2_over_N
CamB,8,0.23593400376327583
D631-7,14,4.854459774838383
DDO064,13,2.267775044348054
DDO154,7,2.8680235014374724
DDO161,24,2.608371222874429
DDO168,9,3.9005154531989885
DDO170,8,5.985730766357733
ESO079-G014,13,9.564131264783242
ESO116-G012,14,12.438612261096043
ESO444-G084,5,6.066683410176639
ESO563-G021,27,39.35833480728487
F563-1,17,32.6264165329703
F563-V2,9,28.783089252514685
F565-V2,7,14.278965826816611
F568-1,10,42.09871946209753
F568-3,16,12.845677377741971
F568-V1,14,32.43546457280071
F571-8,9,12.717838556740203
F571-V1,7,11.169235098640948
F574-1,12,15.399600068626631
F579-V1,13,15.655162605008627
F583-1,23,11.557259927173133
F583-4,10,4.253862256274538
IC2574,33,3.6677075782166533
