r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.22,12.4,7.0,38.3010508994205,,
0.78,37.5,4.0,85.73158694436958,1.0038766460780049,85.89760171501857
1.33,56.5,4.0,104.07309931005226,1.002877410933295,104.2227222925731
2.33,69.1,4.0,114.57450894505287,1.0034023482294188,114.76925462637871
3.44,85.5,7.5,107.55394228014146,1.0066205421619046,107.90938764518062
3.78,87.1,8.4,103.95592383313227,1.0079698217939603,104.3693568147945
4.77,105.0,4.0,92.41437821031963,1.012950142566555,93.01084303248129
5.44,112.0,6.7,86.89113015722607,1.0170434110439557,87.62846239011344
6.11,116.0,4.0,81.96657184486857,1.021807682393368,82.85550208842524
7.22,124.0,4.0,76.94565484808093,1.0310639777062984,78.13163403110393
