r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.44,15.7,9.1,12.435191996909417,,
1.32,44.5,9.1,28.995382390994603,,
2.2,69.4,9.1,36.38259473979282,1.0137953844965615,36.63269109210357
3.08,90.0,11.4,40.30488059776384,1.0096200917526272,40.498284894037425
3.96,105.0,9.88,41.270592435776834,1.007026960243838,41.4153419997161
4.84,113.0,16.2,43.26330546779799,1.00478512881145,43.36669218045276
5.53,117.0,24.8,45.29266717692832,1.0034869207205057,45.37156442949601
7.48,124.0,9.1,54.511401559673736,1.0011808989622584,54.54357829187565
8.37,127.0,9.1,58.26059474464709,1.0007560435157148,58.28261435592656
9.24,130.0,9.1,60.92511140736634,1.0004262581148067,60.938094935496636
10.13,133.0,9.1,63.04616800409046,1.000293733045634,63.055426695716164
13.23,142.0,23.8,68.87459400969271,1.0006404506370534,68.89664586828128
