galaxy,N,chi2_over_N
CamB,8,0.2271279455775314
D631-7,14,3.065831437357868
DDO064,13,1.4337789971523998
DDO154,7,2.2464759935208822
DDO161,24,1.5791161547253978
DDO168,10,2.3853184076805642
DDO170,8,3.8192059557578313
ESO079-G014,13,2.9408695871146167
ESO116-G012,14,5.687046828688136
ESO444-G084,5,3.918069644281271
ESO563-G021,28,4.535067815885327
F563-1,17,9.14940603674167
F563-V2,9,6.354202547336731
F565-V2,7,6.290217208389955
F568-1,10,11.617070648604471
F568-3,17,4.4579535145115585
F568-V1,14,9.288036273254367
F571-8,9,7.46072469976038
F571-V1,7,5.50170157404092
F574-1,13,7.693700557587757
F579-V1,13,5.154411947056747
F583-1,23,5.811692377138517
F583-4,10,2.3145909110013734
IC2574,34,2.0216299436828025
