r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.25,20.9,3.4,17.33139636613276,,
0.83,40.0,3.29,35.00630800298712,1.0069342536995785,35.127469634865776
1.38,51.5,2.96,51.36339260601854,1.0047604653220978,51.485504276134606
1.85,67.9,3.45,61.93297183245771,1.00316770511881,62.03098696901641
2.68,80.2,2.93,61.776141834854016,1.0016606579690712,61.82741507797254
3.19,83.3,3.08,65.33506944972203,1.0012758600011833,65.37673536488244
3.68,91.4,2.83,68.19718249312064,1.001236136395874,68.23931998490848
4.13,102.0,5.4,69.97198367918405,1.0014385437643856,70.02229447251865
5.23,105.0,4.21,69.42425584765024,1.0026456136681208,69.51603006804613
6.05,109.0,2.1,65.99247305564477,1.0040523956821321,66.12605167055007
6.81,108.0,2.1,62.639955300111765,1.0056087265320175,62.815374863580764
7.56,109.0,2.1,61.778006604292436,1.0074473678895195,62.00762166167302
8.32,110.0,2.1,61.35031621760397,1.0095241067142353,61.64177736469626
9.09,111.0,2.33,60.56720647347044,1.0118643581267768,60.92544256042325
9.86,112.0,4.74,57.32175154337139,1.0144079458135227,57.73321908832543
