r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
1.07,22.1,7.17,18.40680309016207,1.0137316411502117,18.532750007237446
1.78,42.7,10.66,24.83910223820499,1.0098696529208906,24.961377933294955
2.49,60.6,7.69,28.152530969701463,1.00677950750454,28.247799920796233
2.97,76.8,11.1,29.33064608903118,1.005041180047171,29.4044836827822
3.04,81.6,17.5,29.315526602808962,1.004787673959638,29.38561939928577
3.19,87.0,8.93,29.411999252005973,1.004287352868262,29.47498162696849
6.95,90.0,24.8,34.52960758537519,1.0004450313873605,34.53729011031345
8.58,97.8,9.4,36.978872346246575,1.0008935048365557,36.9953890582757
9.26,93.7,25.3,38.02526791490101,1.0012993490237942,38.04996394268769
9.89,103.0,23.8,39.19242401281146,1.0017465376681713,39.22663460422903
10.08,97.4,11.0,39.63898333711398,1.0018896922038627,39.67641839916535
11.84,106.5,9.48,41.515208056807325,1.0035140512977412,41.588087372916036
14.56,112.0,11.0,39.8575776986008,1.007013641561887,39.99710685595541
15.43,111.5,9.4,39.661090504422596,1.0083760070188175,39.826844924375
17.93,111.0,24.3,40.794607486774524,1.013003549258558,41.058988135073335
19.02,112.5,7.75,41.311318061761234,1.0154264311483734,41.628741670372314
20.1,106.0,10.7,41.6653393121909,1.0182978574414498,42.04480455023292
