r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.42,35.7,9.1,15.483607460795433,,
1.47,83.3,9.3,40.92651951974417,1.012105802328815,41.173498476383074
2.11,94.2,10.4,48.84802964296513,1.008872156879748,49.06424481937405
2.84,97.6,9.1,53.605969816803054,1.0062853918470966,53.77417318761691
3.9,101.0,9.1,57.91132963419162,1.0033464774224166,58.00814818013681
4.74,105.0,16.7,63.96273055459718,1.001926516166448,64.02431352595295
5.69,106.0,9.1,69.23770071283418,1.0009958320139856,69.2721666938598
6.32,108.0,11.5,71.41734313176316,1.0006189660775409,71.43944216902688
7.37,110.0,23.0,74.55555780758401,1.000426817638619,74.57146692375693
8.21,112.0,19.7,75.48106650014955,1.0005254579469645,75.50089495885526
9.16,113.0,9.1,77.29093737301936,1.0008452527685874,77.32359566275022
10.85,114.0,9.1,77.96495238246479,1.001797103328963,78.03497647418877
12.21,114.0,9.1,75.47465799856266,1.002880768116184,75.58329231143259
15.16,114.0,11.2,71.64346795067922,1.0057422682481072,71.84887150779241
