r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.0059450484975747,13.090947217697874
0.9,17.8,2.22,20.57645499108143,1.0042819564560332,20.620461674872804
1.35,26.0,2.35,26.643340631384795,1.0032517587395875,26.686624330781328
1.8,30.9,2.22,28.40977472631559,1.0029199147656764,28.45122155342497
2.25,34.7,1.82,28.156995578363823,1.00328009465916,28.203136578035682
2.69,38.8,1.81,27.869512015821158,1.0042302256005062,27.928396968983048
3.14,42.5,1.57,27.03890715247197,1.0057322685426588,27.116293549491772
3.59,45.6,1.59,26.289056658617476,1.0076247402548373,26.389089953025124
4.04,48.8,1.83,25.52609057415569,1.0100506759725316,25.654047098188247
4.49,51.8,1.91,24.616459940454476,1.012900674964871,24.774735584835824
4.94,54.8,2.19,23.785779364990336,1.016336107735099,23.979275848560672
5.39,56.6,2.73,22.912599154177162,1.0200207766350387,23.140826507872497
5.84,58.4,3.27,22.092193191261025,1.0236501346592943,22.35190826243899
