r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.28,11.9,7.89,6.2921300050142,,
0.87,34.8,7.89,17.881680569789854,,
1.46,58.5,8.68,27.78001619869938,1.0076070974931182,27.885478658674586
2.05,81.5,14.2,35.88963081448456,1.0046634454224752,35.97321814386597
2.35,91.8,17.5,38.599762952640006,1.0036610753196682,38.67035671914101
4.76,114.0,8.68,48.02736719829643,1.001177030942694,48.05562373468151
7.86,116.0,8.68,53.59752326367329,1.0052700501735898,53.73856849738737
8.7,117.0,16.6,56.32932628746771,1.006979534789724,56.525560722836275
10.18,118.0,51.9,54.93775568768714,1.0105626121770679,55.22713664386832
10.47,118.0,40.3,54.70935294810203,1.0113456288057183,55.0188336160924
