r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.44,15.7,9.1,12.435191996909417,,
1.32,44.5,9.1,28.995382390994603,,
2.2,69.4,9.1,36.38259473979282,,
3.08,90.0,11.4,40.30488059776384,1.0134069730770394,40.57416425766399
3.96,105.0,9.88,41.270592435776834,1.0105461949966836,41.487645523374816
4.84,113.0,16.2,43.26330546779799,1.0076854169163278,43.42923553741144
5.53,117.0,24.8,45.29266717692832,1.0054423068305944,45.415748238904605
7.48,124.0,9.1,54.511401559673736,1.0023788375707785,54.576199931397035
8.37,127.0,9.1,58.26059474464709,1.001473749063177,58.30350968746668
9.24,130.0,9.1,60.92511140736634,1.0007793507394207,60.94884779883581
10.13,133.0,9.1,63.04616800409046,1.0006459133407921,63.066525897762176
13.23,142.0,23.8,68.87459400969271,1.0006493436592618,68.89695202122569
