r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.0058866220995373,13.090567043850292
0.9,17.8,2.22,20.57645499108143,1.0042863129389326,20.620506399658836
1.35,26.0,2.35,26.643340631384795,1.0032933851019163,26.687177958303742
1.8,30.9,2.22,28.40977472631559,1.0029821010195343,28.45210360164977
2.25,34.7,1.82,28.156995578363823,1.0033489121980539,28.2041038239611
2.69,38.8,1.81,27.869512015821158,1.0043005663560902,27.92937506648276
3.14,42.5,1.57,27.03890715247197,1.005800469030871,27.11721293587603
3.59,45.6,1.59,26.289056658617476,1.007688305976977,26.38992231404112
4.04,48.8,1.83,25.52609057415569,1.0101075096471712,25.654768840815276
4.49,51.8,1.91,24.616459940454476,1.012948910605097,24.77532548028909
4.94,54.8,2.19,23.785779364990336,1.0163711594804874,23.97968934770647
5.39,56.6,2.73,22.912599154177162,1.0200380551202801,23.141022502280265
5.84,58.4,3.27,22.092193191261025,1.02364839316528,22.351889249238248
