r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.41,15.0,4.1,13.301372109673498,,
0.82,23.4,1.3,22.071746645881923,1.0088980694566583,22.16972713663036
1.24,29.2,1.5,25.138022993067693,1.0066930891029588,25.222008211174614
1.64,36.2,1.1,25.762765767673315,1.0048625892887817,25.825326682328903
2.06,44.0,1.1,27.735754902291735,1.003466053360264,27.783780127030273
2.47,52.1,1.2,28.32203735609428,1.002436328694871,28.356517263926833
2.89,52.9,1.7,28.554554803043242,1.0016765899082956,28.578481917463034
3.3,54.8,2.2,28.506204587773517,1.0013658755996078,28.525665909247078
3.71,55.0,2.5,28.488123841348344,1.0012131709592784,28.505399085744592
4.12,52.0,2.7,28.01935937882949,1.001409941596864,28.03910525130221
