r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
1.07,22.1,7.17,18.40680309016207,,
1.78,42.7,10.66,24.83910223820499,1.012431041577456,24.99301335300529
2.49,60.6,7.69,28.152530969701463,1.0088969788966422,28.27748988293015
2.97,76.8,11.1,29.33064608903118,1.0065077534222893,29.425929626213176
3.04,81.6,17.5,29.315526602808962,1.0061593247072795,29.405669934034297
3.19,87.0,8.93,29.411999252005973,1.0054956406673763,29.492707407779168
6.95,90.0,24.8,34.52960758537519,1.0005048997443615,34.538323480372114
8.58,97.8,9.4,36.978872346246575,1.0007663652257954,36.99303929343014
9.26,93.7,25.3,38.02526791490101,1.0010641955445414,38.04549569510113
9.89,103.0,23.8,39.19242401281146,1.0014956061421876,39.2217212776523
10.08,97.4,11.0,39.63898333711398,1.0016503988325325,39.67167991798705
11.84,106.5,9.48,41.515208056807325,1.0032614531585677,41.58285289980662
14.56,112.0,11.0,39.8575776986008,1.0065626941026284,39.98815036686279
15.43,111.5,9.4,39.661090504422596,1.0078920351755423,39.81728629508046
17.93,111.0,24.3,40.794607486774524,1.0125065003341975,41.048913723217716
19.02,112.5,7.75,41.311318061761234,1.01493878353885,41.618744592514915
20.1,106.0,10.7,41.6653393121909,1.0177697664624064,42.03390088325876
