r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.6,16.0,3.53,14.318536936433135,1.0079423033160024,14.375285562276613
0.73,16.6,4.83,16.375066412079065,1.0073128913424287,16.434831887203913
0.85,18.6,2.5,17.879119105817267,1.0067318956745146,17.93919834590757
0.98,20.0,7.58,19.968217246414362,1.006164559882017,20.029670319613068
1.07,21.4,4.03,21.26249750146958,1.0057961000864815,21.324028252496706
1.54,28.9,2.74,27.1146086086449,1.0039929556049139,27.16868839209291
2.02,32.9,2.65,31.18002565746218,1.0026337441448179,31.22105876255844
2.49,35.2,2.88,33.63529247680181,1.001877062872869,33.666845456375114
2.96,37.6,3.05,34.90671138907245,1.0015434725644496,34.933639777943576
3.43,40.6,3.68,35.32418010371932,1.001572409291301,35.35194122954415
3.9,42.7,3.25,35.80341464162322,1.0019012216753063,35.837433593892285
4.37,45.5,2.99,35.96655251758222,1.0024973159447896,36.011434436512474
4.86,48.9,1.96,35.986336295877635,1.003387889471761,36.0472436176099
5.34,51.5,1.53,35.891951744088814,1.0045190312945405,35.972958755521276
5.81,53.0,1.86,35.67475437897225,1.0058056638145276,35.778162323536826
6.28,55.0,1.48,35.70686208559918,1.0072044364596275,35.835255160209144
6.75,57.6,0.99,35.760271251767655,1.0089603836146315,35.920126832811164
7.22,59.7,1.19,35.96768549684563,1.0109126200781167,36.163403839129764
7.69,60.5,1.26,36.35770069737634,1.01313852260574,36.59576453354308
8.16,61.8,1.33,36.796836820574676,1.015508062516225,37.08106293386179
8.64,62.9,1.35,37.021216889778216,1.0182159148188632,37.35688283946141
9.11,63.0,2.09,37.29874662773536,1.0212036535080395,37.69210724472163
9.58,64.5,2.38,37.20884303495609,1.024234632492007,37.65701528554698
10.05,65.6,1.08,37.007901858927376,1.0275516146367296,37.514251593520065
