r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,18.9,9.78,65.19,,
1.34,58.3,10.5,120.17,,
2.23,74.1,5.69,137.48,,
3.12,119.0,4.27,146.18,1.0141774251634212,147.21258105066516
4.01,141.0,3.76,157.86,1.01085484151393,158.71446014185372
4.9,195.0,4.54,175.79,1.0075322578644388,176.4508057994638
5.79,227.0,4.2,199.19,1.0056580126001713,199.75271492559608
6.69,246.0,4.24,217.87,1.0041872335743285,218.32565979918996
7.58,268.0,5.56,228.65,1.002732796537662,228.96221380549702
8.47,283.0,2.96,241.76,1.002008371715765,242.00265020116154
10.23,291.0,9.81,260.94,1.0007149031879579,261.0332567545229
12.06,310.0,4.74,275.0400029086679,1.0003213237606734,275.08418780357397
13.44,310.0,20.4,277.98028779033956,1.0002192167613968,278.0107550899061
15.18,310.0,16.1,282.2671334038024,1.0003359526078377,282.31454361202793
16.83,314.0,13.5,283.7363587910439,1.000740011874726,283.84132351324837
18.56,317.0,12.7,277.4176075882712,1.0012615422094244,277.59253944548504
20.3,319.0,10.4,274.1903712751416,1.0018926589706916,274.44972304997145
21.94,318.0,10.8,275.0623645648383,1.0026415672720883,275.4254228322651
23.68,317.0,9.3,274.2245512349323,1.0034919724123115,274.70292626461867
25.41,317.0,7.23,265.4585180400132,1.0043996919947258,266.0418449878423
27.06,312.0,8.39,257.17034238029856,1.005418520424445,257.866142478274
28.8,312.0,8.37,247.63895028851982,1.0065469729270533,248.4482705517108
30.53,311.0,11.5,238.15547211853016,1.007727654958893,239.0738928810248
32.18,310.0,14.5,230.78446091537447,1.0088948463029563,231.80858475559728
33.91,313.0,15.9,224.30081163473304,1.0101392853177995,225.43506871004362
35.65,320.0,8.83,217.71449767987434,1.011414983102355,218.95357535695976
37.3,321.0,7.88,212.31512287164097,1.012804780100361,213.67012327862903
39.03,320.0,8.0,206.59717931278735,1.0143220049109074,208.07136267069117
40.76,315.0,9.82,201.30546962266078,1.01590517342317,202.90005330613477
42.41,312.0,9.07,196.97196805637088,1.017557140547274,198.69357656942603
