r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
1.07,22.1,7.17,18.40680309016207,1.0146654837523201,18.54128416308636
1.78,42.7,10.66,24.83910223820499,1.010616322099896,24.970604098129385
2.49,60.6,7.69,28.152530969701463,1.0073339097835534,28.255576444440166
2.97,76.8,11.1,29.33064608903118,1.0055550363471255,29.411999667532847
3.04,81.6,17.5,29.315526602808962,1.005295617304313,29.39304601501669
3.19,87.0,8.93,29.411999252005973,1.004778754373598,29.48219185368219
6.95,90.0,24.8,34.52960758537519,1.0004602137284586,34.53755217115301
8.58,97.8,9.4,36.978872346246575,1.000839938171454,36.994399069769436
9.26,93.7,25.3,38.02526791490101,1.00121208877393,38.04830593616606
9.89,103.0,23.8,39.19242401281146,1.0016420432478466,39.22458864190784
10.08,97.4,11.0,39.63898333711398,1.001785233747246,39.67434998509901
11.84,106.5,9.48,41.515208056807325,1.003439654983668,41.58654576134015
14.56,112.0,11.0,39.8575776986008,1.0068489319598621,39.9938357101208
15.43,111.5,9.4,39.661090504422596,1.0082108766976943,39.823583795137196
17.93,111.0,24.3,40.794607486774524,1.012898496436941,41.05685908311006
19.02,112.5,7.75,41.311318061761234,1.0152981431244577,41.62611191920016
20.1,106.0,10.7,41.6653393121909,1.0179820989537751,42.03828532153522
