r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.41,15.0,4.1,13.301372109673498,,
0.82,23.4,1.3,22.071746645881923,1.0078107912831642,22.1577778827907
1.24,29.2,1.5,25.138022993067693,1.0058872672951,25.211911532578664
1.64,36.2,1.1,25.762765767673315,1.0043065520552241,25.818180516077206
2.06,44.0,1.1,27.735754902291735,1.00292572751203,27.776298899371156
2.47,52.1,1.2,28.32203735609428,1.0020691239358301,28.351323117657383
2.89,52.9,1.7,28.554554803043242,1.0015635974826351,28.57686999845845
3.3,54.8,2.2,28.506204587773517,1.001325332652823,28.525088434874565
3.71,55.0,2.5,28.488123841348344,1.0013102443516648,28.506780933687736
4.12,52.0,2.7,28.01935937882949,1.0014902117818434,28.04022899641946
