r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.41,33.2,11.6,29.034231520741166,,
0.98,50.4,11.8,47.803850263341765,,
1.78,53.9,9.75,62.455829191517424,1.0146421222383788,62.91141052515183
2.69,67.6,5.1,75.96270729772604,1.0105746617651632,76.36329104150695
3.36,81.7,5.06,82.7209556279423,1.0075799381200483,83.03387363504461
4.39,102.0,5.35,87.36533065238179,1.0048845250454217,87.5784398079728
5.65,116.0,6.44,92.71797506416974,1.0024554516081516,92.83173752292089
6.34,132.0,9.1,96.73140389759676,1.0016927117859598,96.81323847537564
6.89,137.0,5.25,101.22834484471234,1.0010847307682706,101.28323271424348
8.34,154.0,4.2,115.10685904845114,1.0004599455172054,115.13332744720515
10.04,163.0,3.28,130.9806523880531,1.0003820935236456,131.00567342768724
11.65,170.0,2.41,136.90796397580382,1.0007962388361784,136.9624588491785
13.36,175.0,2.18,137.8288072211321,1.0015560161221846,137.93599746297264
15.06,177.0,2.23,134.42007476563907,1.0025568699673368,134.5918123841193
16.67,178.0,2.03,130.66190339957552,1.0036819113516586,130.9022251646406
